complex_id	proteins
5	O75794 P05198 P20042 P41091 Q9NVM4
8	O95070 Q5BJH7 Q969M3
10	A0AVF1 Q86WT1 Q8N4P2 Q8WYA0 Q96LB3 Q9BW83 Q9NQC8 Q9Y366
23	O43402 Q15006 Q5J8M3 Q5UCC4 Q8N4V1 Q8N766 Q9BV81 Q9NPA0 Q9P0I2 Q9Y3B6
30	P56282 Q07864 Q9NR33 Q9NRF9
33	P15259 P18669 Q8N0Y7
37	P31153 Q00266 Q9NZL9
42	O14893 P08621 P09234 P57678 Q16637 Q9UHI6
48	O75947 O75964 P06576 P18859 P24539 P25705 P30049 P36542 P48047 P56385
69	O60825 Q16875 Q16877
73	O60231 Q92917 Q9BRD0
74	O15151 P04637 Q8IWT3
75	O60885 Q15059 Q86YD7
79	O75665 Q1MSJ5 Q2KHM9 Q8WXW3 Q96M89 Q96NB1 Q9UPN4 Q9Y2D8
83	O15259 O43924 O75161 P51957 Q5VSY0 Q68CZ1 Q92834 Q96KN7
87	P51784 Q15170 Q9Y4C1
88	O76071 Q96T76 Q9Y3D0
92	P42285 P52298 Q13523 Q86VM9 Q9BXP5
103	Q99961 Q99962 Q99963
104	P57081 Q6V1X1 Q9UBP6
117	P41743 Q05513 Q9BYG5
120	Q155Q3 Q9GZM8 Q9H7U1 Q9NRI5 Q9NXR1
122	Q96CS2 Q99871 Q9H6D7 Q9NVX0
123	Q00341 Q92900 Q9HCE1
136	Q15291 Q9P0U4 Q9UBL3 Q9UPS6
140	O43432 P06730 Q13541 Q13542 Q9NRA8
144	Q04637 Q14103 Q99729
150	O00743 O15084 Q5H9R7
155	Q3SYG4 Q8IWZ6 Q8N3I7 Q8NFJ9 Q8TAM2 Q96RK4 Q9BXC9
162	B5ME19 O00303 O15371 O15372 O75821 O75822 P55884 P60228 Q13347 Q14152 Q5JSZ5 Q7L2H7 Q99613 Q9UBQ5 Q9Y262
166	P30260 P60006 Q13042 Q8NHZ8 Q96DE5 Q9BS18 Q9H1A4 Q9UJX2 Q9UJX3 Q9UJX4 Q9UJX5 Q9UJX6 Q9UKT4 Q9UM11 Q9UM13
167	O00329 O00459 P27986 P42336 P42338 Q92569 Q9Y4H2
172	Q7Z589 Q86YC2 Q96QT6 Q9UBU8 Q9Y605
175	O14972 O60826 Q567U6 Q7Z3J2 Q7Z4G1 Q86VX2 Q86X83 Q8N668 Q8TCE6 Q9GZQ3 Q9H0A8 Q9NX08 Q9P000 Q9UBI1 Q9UBQ0 Q9Y6G5
184	A6NHQ4 Q15022 Q92800 Q9Y483
188	P06746 P18887 P49916 Q96T60 Q9NUW8
190	Q8IX21 Q8IY18 Q8N140 Q8NDZ2 Q8WV22 Q96MF7 Q96MG7 Q96SB8 Q9BQI6 Q9NXX6
197	Q53EP0 Q96IP4 Q9Y2H6
203	O95677 Q15475 Q99502
205	P09429 P23497 P26583
206	O43715 Q9Y255 Q9Y3B1
208	O15127 Q00765 Q96HR9
226	O14867 O15525 O60675 O75330 Q9Y5Q3
229	O95714 Q6ZV73 Q96JN8 Q9UJU6
231	Q8WYH8 Q9NQC1 Q9UNL4
