complex_id	proteins
1	P56524;P41182
2	Q9UQL6;P41182
3	P41182;Q8WUI4
4	Q9Y6Q9;Q92793;Q92831;Q09472
10	Q9NTJ3;Q15021;O95347;Q15003;Q9BPX3
11	Q9NQG7;Q92902
12	Q86YV9;Q969F9;Q9UPZ3
13	Q96NY9;Q92903
15	Q92828;Q13227;O15379;O75376;Q9BZK7;O60907
29	P61289
30	Q06323;Q9UL46
32	P17980;Q16401;P55036;P51665;Q99460;P62191;P62195;P43686;O75832;O43242;Q13200;P35998;P48556;O00231;Q9UNM6;O00233;P62333;O00232;O00487;Q15008
36	Q9Y6Q5;Q96PC3;Q10567;O43747;O75843;P56377;Q9BXS5;P61966
49	Q13547;Q9NTJ3;O95239;O60264;O95347;Q9UBC3;Q96ST3
50	Q15276;P20339;Q9UJ41
55	P56524;P27361
57	P56524;P28482
58	Q9Y618;Q13227;O15379;Q9BZK7;O60907
61	Q13547;Q14839;O95983;O94776;Q16576;Q09028;Q92769
62	Q13547;Q14839;O95983;O94776;Q16576;Q09028;Q9UBB5;Q92769
66	Q93074;Q9Y2W1;O60244;P10827;Q9Y2X0;Q15648;Q71SY5;O75448;Q9NVC6
67	Q9UPM8;Q9Y6B7;O00189;Q9Y587
74	Q14573;P48995;Q9NSC5
81	Q8N3Y1;Q14999;P62877;P63208
86	Q92922;P51532;O14497;Q96KG9;Q8TAQ2;Q12824;Q86X55;P60709;Q96GM5;Q969G3
87	Q8NFH4;Q8NFH3;Q12769;P55735;P57740;Q8WUM0;Q96EE3;Q9BW27;P52948
92	P10747;P19338
93	Q9UJX6;Q13042;Q9UJX5;Q9H1A4;P30260;Q9UJX2;Q9UJX4;Q9UJX3
95	P12956;P13010;Q9BXJ9
96	Q9UJX6;Q13042;Q9UM13;Q9UJX5;Q9H1A4;P30260;Q9UJX2;Q9UJX4;Q9UJX3
98	Q00987;Q09472;P04637
100	Q12830;Q16576;P28370;Q09028
104	P62487;P52435;P30876;O15514;P52434;P62875;P53803;P19388;P24928;P61218;P19387;P36954
112	Q99471;Q9UHV9;Q9NQP4;P61758;O15212;O60925
114	Q92966;Q13487;Q16533;Q5SXM2;O75971
117	P62873;P60033;Q9Y653;P50148
118	Q14442;P37287;Q92535;Q9BRB3
120	P36941;P01374;Q06643
126	P40227;P78371;Q99832;P48643;P50991;P50990;P17987;P49368
127	Q9BZD4;Q9HBM1;Q8NBT2;O14777
129	P78560;Q9HB75;P42575
138	Q15554;Q9NYB0;Q96AP0;P54274;Q9BSI4;Q9NUX5
140	Q9BXY8;P25791;Q86U70;Q02577
142	Q92542;Q9NZ42;Q96BI3;P35613;P49768
144	Q9Y6Q5;Q96PC3;Q10567;Q63HQ0;O43747;O75843;P56377;Q9BXS5;P61966
149	Q92922;O96019;P51532;Q8TAQ2;Q969G3;Q12824;Q68CP9;P60709;Q96GM5;Q86U86
152	P29083;P29084
153	P35269;P13984
156	Q86TM6;P57678;Q9BUN8
159	Q9NTJ3;P09874;Q15021;O95347;Q15003;Q9BPX3;P18887
162	P83436;Q96MW5;Q9H9E3;Q8WTW3;Q96JB2;Q14746;Q9UP83;Q9Y2V7
164	Q14683;Q8WVM7;Q9UQE7;O60216
166	Q14683;Q8N3U4;Q9UQE7;O60216
168	P42566;O14964;O75886
169	Q92783;P42566;O14964
180	P62136;Q96QC0
181	P17980;P25788;P55036;Q99436;O14818;P28066;P25786;P62191;P28074;P49720;P62195;P43686;P35998;P60900;Q9UNM6;P28070;P25787;P49721;P28072;P62333;P20618;P25789
186	Q8IZP0;Q8WUW1;Q9Y6W5;Q7L576;Q9Y2A7
189	Q92922;O96019;P51532;Q96GM5;O14497;Q8NFD5;Q8TAQ2;Q12824;P60709;P51531;O94805;P63261;Q969G3
190	O60566;Q12834;Q13257;O43684
192	P25787;P49721;P28072;P28066;Q9UL46;P25786;P25788;Q06323;P28074;P20618;P25789;P49720;Q99436;O14818;P60900;P28070
193	P17980;Q16401;P25788;P55036;Q06323;Q99436;O14818;P51665;P28066;P25786;Q99460;P62191;P28074;P49720;P62195;P43686;O75832;O43242;Q9UL46;Q13200;P35998;P48556;O00231;P60900;Q9UNM6;P28070;P25787;P49721;P28072;O00233;P62333;O00232;P20618;P25789;O00487;Q15008
194	P25787;P49721;P28072;P28066;P25786;P25788;P61289;P28074;P20618;P25789;P49720;Q99436;O14818;P60900;P28070
201	Q99728;P38398
213	P49917;P18887
218	O43513;O60244;Q6P2C8;Q15648;O95402;O75448;Q9ULK4;Q9NVC6
219	Q13616;Q86VP6;P62877
221	Q86VP6;P62877;Q13617
222	Q13618;Q86VP6;P62877
223	Q13619;Q86VP6;P62877
224	Q86VP6;P62877;Q13620
226	P63208;Q13616;Q13309
227	P63208;Q13616;Q9Y297
228	O75586;P49336;O60244;Q9Y3C7;Q15648;P24863;O75448;Q13503
229	O75586;Q9BTT4;P49336;O60244;Q9ULK4;P24863;Q13503
232	O75586;Q9UKU7;Q93074;O43513;O60244;Q9NPJ6;Q15648;Q9UHV7;O75448;Q71SY5;O95402;Q9ULK4;Q9NVC6;Q96G25;Q96RN5
234	Q9NRL2;Q9NRG0;O60264;Q9NRF9
236	O60264;Q9UIG0
240	Q99708;P38398;Q9GZX5
242	P38398;Q9BX63
243	Q15311;P14635;P06493
246	P40692;Q9H9A7;P54132;Q13472
247	P49757;P14635;Q9Y6I3;Q15311;O95782
254	Q9P2W1;Q9BWT6
256	O43502;O15315
266	P40937;O75943;P40938;P35250;P35249
271	O60921;O60671;Q99638
274	P40937;Q99638;O75943;P40938;P35250;O60921;O60671;P35249
278	P35249;P40937;P35250
279	P40937;P40938;P35250;P35251;P35249
282	Q13547;Q12873;Q14683;O60216;Q9NRL2;O95983;O94776;O60264;Q8WVM7;Q8N3U4;Q16576;Q09028;Q9UBB5;Q13330;Q9UQE7;Q92769
283	O75446;Q13547;O00422;Q16576;Q09028;Q96ST3;Q92769
285	P40692;P12004;P54277
286	P12004;P52701;P43246
287	O75586;O43513;Q93074;P49336;O60244;Q9UHV7;Q15648;Q13503;O75448;Q71SY5;Q9ULK4;P24863;Q9NVC6;Q96RN5
290	P40692;P54278;P12004;P43246
291	P40692;P54278;P43246
298	P40763;P27695;Q99966;Q16665
299	Q14653;Q92793
300	O75586;O43513;Q9BTT4;Q9Y3C7;O60244;Q9Y2W1;Q9Y2X0;Q6P2C8;Q9H944;O75448;Q9NVC6;Q13503
301	O75586;O43513;Q93074;Q9BTT4;P49336;O60244;Q9Y3C7;Q9Y2W1;Q9Y2X0;Q6P2C8;Q15648;Q9UHV7;Q9H944;O75448;P24863;Q9NVC6;Q13503
310	P14635;P12004;O95067;P38936;P24385;P06493
311	P38936;P12004;P24385;P24941
312	P38936;P12004;P24385;P11802
313	P12004;Q00535;P38936;P24385;P30281
314	P38936;P12004
322	P78527;P13010;P12956
324	P52815;Q9BYC8;Q9NZE8;Q9BYD6;Q96EL3;Q8TCC3;Q9NRX2;Q96GC5;Q96A35;Q96DV4;Q9BYD2;Q7Z7H8;Q6P1L8;Q8IXM3;Q9HD33;Q9P0J6;Q6P161;Q9H2W6;Q9NYK5;Q86TS9;P83111;Q7Z7F7;Q9H0U6;O75394;Q8N5N7;Q5T653;Q9NQ50;Q9BRJ2;Q16540;Q9BYD1;P09001;Q4U2R6;Q9BZE1;Q7Z2W9;Q9Y3B7;Q8N983;Q13405;Q9H9J2;Q9NWU5;Q9BQ48;Q9BYC9;Q9NX20;Q9Y6G3;P49406;Q9P0M9;Q13084;Q9P015;Q9BYD3
328	P13010;P12956
335	P43243;Q15233;P23246
336	P49917;Q09666;Q13426
343	Q13326;Q14714;Q16585;Q92629;Q16586
348	P49917;Q13426
350	P49917;Q96T60;Q13426
353	P49917;Q9NTJ3;O95347
359	P49917;Q9H9Q4;Q13426
361	P78527;Q96SD1
362	Q96T60;P06746;P49916;P18887
368	Q92889;P07992;P43246
369	P40692;P54278;P52701;P43246
370	P40692;P54277;P52701;P43246
376	P40692;P12004;P43246;P52701;P54278
379	P40692;P54278
380	P40692;P54277
386	Q9BSL1;Q5XPI4
387	Q14566;P49736;P33992;P33991;P33993;P25205
390	P63208;Q13616;Q9UKT8
391	Q16531;Q13619;P62877
393	P53597;Q96I99
394	P53597;Q9P2R7
404	O75874
415	Q9UQ84;P40692;P54278
422	Q14118;P56539
424	Q9UQ84;P40692;P12004
426	Q16820;Q16819
429	Q99570;Q8NEB9
434	P40692;P38398;P54132;P43246;P52701;P35250;P35251;P35249
435	P40692;P38398;P35250;Q13315;P35251;P35249
436	P38398;Q92878;P52701
441	Q93074;O60244;P03372;Q92830;Q9Y2X0;Q15648;Q9UHV7;O75448;Q9Y4A5;Q9ULK4;Q9NVC6
443	P17980;O15198;P50539;O14867;Q13118;P19447;Q15582;O95452
466	Q96BI3;Q92542;P49768;Q9NZ42
467	P49810;Q8WW43;Q92542;Q9NZ42
468	Q96BI3;P49810;Q92542;Q9NZ42
472	P13674;P07237
474	Q7Z4N8;P07237
486	P60660;P35579;P62736;P42768;O43516;P19105
490	P52657;P52655
497	O00268;Q16514
499	P04628;P34925
500	P56704;P34925
517	Q08209;P13861;P24588
518	Q08499;Q02952;P17612
520	P62136;Q99996;P17612;P51787;P13861
521	P12830;P35222;P98161
522	P12830;P35222;P98161;Q14254
525	O96019;Q92993;Q9Y230;Q9Y4A5;Q9Y265
