complex_id	proteins
8	O95070 Q5BJH7 Q969M3
10	A0AVF1 Q86WT1 Q8N4P2 Q8WYA0 Q96LB3 Q9BW83 Q9NQC8 Q9Y366
23	O43402 Q15006 Q5J8M3 Q5UCC4 Q8N4V1 Q8N766 Q9BV81 Q9NPA0 Q9P0I2 Q9Y3B6
30	P56282 Q07864 Q9NR33 Q9NRF9
33	P15259 P18669 Q8N0Y7
35	Q86XE3 Q8IYU8 Q9BPX6
37	P31153 Q00266 Q9NZL9
42	O14893 P08621 P09234 P57678 Q16637 Q9UHI6
48	O75947 O75964 P06576 P18859 P24539 P25705 P30049 P36542 P48047 P56385
63	O75380 O75438 O95169 P03905 P03915 P51970 P56181
69	O60825 Q16875 Q16877
73	O60231 Q92917 Q9BRD0
74	O15151 P04637 Q8IWT3
88	O76071 Q96T76 Q9Y3D0
92	P42285 P52298 Q13523 Q86VM9 Q9BXP5
103	Q99961 Q99962 Q99963
117	P41743 Q05513 Q9BYG5
122	Q96CS2 Q99871 Q9H6D7 Q9NVX0
136	Q15291 Q9P0U4 Q9UBL3 Q9UPS6
140	O43432 P06730 Q13541 Q13542 Q9NRA8
150	O00743 O15084 Q5H9R7
155	Q3SYG4 Q8IWZ6 Q8N3I7 Q8NFJ9 Q8TAM2 Q96RK4 Q9BXC9
166	P30260 P60006 Q13042 Q8NHZ8 Q96DE5 Q9BS18 Q9H1A4 Q9UJX2 Q9UJX3 Q9UJX4 Q9UJX5 Q9UJX6 Q9UKT4 Q9UM11 Q9UM13
167	O00329 O00459 P27986 P42336 P42338 Q92569 Q9Y4H2
172	Q7Z589 Q86YC2 Q96QT6 Q9UBU8 Q9Y605
175	O14972 O60826 Q567U6 Q7Z3J2 Q7Z4G1 Q86VX2 Q86X83 Q8N668 Q8TCE6 Q9GZQ3 Q9H0A8 Q9NX08 Q9P000 Q9UBI1 Q9UBQ0 Q9Y6G5
184	A6NHQ4 Q15022 Q92800 Q9Y483
188	P06746 P18887 P49916 Q96T60 Q9NUW8
203	O95677 Q15475 Q99502
206	O43715 Q9Y255 Q9Y3B1
231	Q8WYH8 Q9NQC1 Q9UNL4
236	O75496 O95067 P06493 P14635 P20248 P24864 P24941 P28749 P33552 P46527 P61024 Q08999 Q13309 Q99640 Q9H211
239	P30260 Q13042 Q9H1A4 Q9UJX2 Q9UJX5
243	O00194 Q8IYJ3 Q8TDW5 Q96C24 Q9HCH5
247	O00257 O95931 P35227 P78364 Q8IXK0 Q8NDX5 Q9HC52
267	O14662 Q9H1K0 Q9NRW7
272	P28715 P50613 P51946 P51948
282	O75970 Q8N3R9 Q9BUF7 Q9HAP6 Q9NUP9 Q9Y2J4
283	A6NHQ4 O75530 Q15022 Q15910 Q5T6S3 Q6ZN18 Q92800 Q92833 Q9Y483
284	Q13352 Q6IPU0 Q71F23 Q7L2Z9 Q92674 Q96BT3 Q96H22 Q9BS16 Q9BU64 Q9H3R5
285	A5D8V6 Q96EY5 Q99816 Q9H9H4
291	P42772 P55273 Q00534
304	P09884 Q07864 Q14181
305	O75386 Q7Z4L5 Q86VG3 Q8NEZ3 Q96FT9 Q96RY7 Q9HBG6 Q9P2L0
313	A5YKK6 O75175 Q92600 Q96LI5 Q9C0C2 Q9H9A5 Q9NZN8 Q9UFF9 Q9UIV1 Q9UKZ1 Q9ULM6
317	Q13769 Q6I9Y2 Q86W42 Q8NI27 Q96FV9
322	O43257 O95619 Q15906 Q53TQ3 Q6PI98 Q9BVM2 Q9C086 Q9H9F9 Q9NPF5 Q9Y230 Q9Y265
324	P46087 Q9UKD2 Q9Y221 Q9Y3B9
353	P11021 P14625 Q15084 Q9Y4L1
