Q08162	Q08285
P46956	P53622
P53201	Q03940
P20424	Q12024
P14681	P39078
P16140	P39108
P04911	P10080
P25453	Q99207
P40054	P41910
P09435	Q12018
Q03818	Q12380
P36057	P50944
P39709	P53322
P17558	Q06410
P22202	P38885
P00360	P53879
P20435	Q06706
P00924	P38328
P32861	Q12152
P10659	Q07844
P19735	P32861
P33749	P34730
P47135	Q06689
P38217	P40495
P38346	Q12365
P38822	P40344
P28007	Q04373
P42943	Q04372
P25569	P40547
P26188	P53130
P36516	P36520
P11484	P39076
P33895	Q06629
P04786	P50946
P53168	P53267
P08679	Q12179
P39008	P39517
P24871	P40061
P38692	Q00772
P00830	P32801
P06243	Q12094
P34244	P53914
P16861	P24814
P38764	Q12250
P38217	P39006
P19882	P25644
P41808	Q00772
P33420	P40460
P38113	Q02630
P12695	P29295
P08431	P40054
P32793	P38257
P04819	P16140
P38316	P40069
P53044	Q12306
P26448	P48526
P14742	P22133
P12709	P53243
P02829	P19735
P19358	P26309
P09435	P38873
P25586	Q06679
P43639	Q00245
P02294	P47068
P40856	P80428
P32776	Q06410
P33334	P40018
P38260	Q08004
P20604	P29311
P25297	P40548
P41544	Q08980
P23641	P25646
P15442	Q12420
P32569	Q03935
P17709	Q04409
P38164	Q08496
P00546	P47114
P32589	Q12004
P33759	P47150
P32861	P32863
P61864	Q12242
P21304	P40413
P40041	Q12211
P47096	Q02574
P38263	Q02630
P06782	P25567
P25847	P54885
P12611	Q07949
P43574	P53847
P32829	P35187
P25046	Q12343
P13186	P50090
P40073	P46674
P40060	Q03435
P23291	P48239
P40466	P46949
P02309	P39521
P47042	Q03790
P53742	Q06199
P32490	Q08224
P23291	P23292
Q03558	Q06287
P38085	Q12450
P19882	P50942
P38703	Q02795
P16474	P39940
P00812	Q06142
P23291	Q06490
P49955	Q07508
P29055	P53234
P43321	Q03338
P41811	Q12464
Q04748	Q06554
P08524	P32911
P38881	P53632
P19541	Q06651
P38779	Q08496
P22213	Q01532
P02294	P22138
P02557	P39009
P32558	P89105
P30822	Q05672
P00546	P38909
P53861	P53914
P06774	P38077
P30656	Q12194
Q03940	Q04177
P50623	Q04195
P53294	Q04409
P19812	Q01939
P32490	Q00772
P29055	P42938
P04911	P53261
P16387	P53897
Q00381	Q99186
P09733	P32641
P04806	P06774
P35193	P38821
P06243	P39517
P22133	P25694
P38753	P40453
P46964	Q02795
P41811	P54115
P22470	P25694
P18961	P40544
P53507	Q06406
P07244	Q00776
P32606	P40567
P47135	P53085
P41940	P43612
P22804	P53600
P47154	P53159
P38228	P47093
P20604	P25491
P38333	Q08444
P16140	P25646
P19735	P33334
P01119	Q06891
P17555	Q05946
P53894	P60010
P02994	P16522
P16151	P40975
Q08952	Q12265
P00924	P39946
P25045	Q06344
P16861	P32911
P32639	P40018
P23968	P38363
P43321	Q06406
P38555	Q12223
P32502	P39968
P25591	P47135
P29295	Q12032
P20676	P46970
P39742	Q04162
P40319	Q03655
P20053	Q12368
P25587	P47135
P16474	P32641
P25586	Q06287
P39540	P50944
P42073	Q01329
P36123	Q12199
P47135	Q04083
P38282	Q12420
P19735	P29509
P23724	Q12250
P24276	P53894
P10659	P54839
P08518	Q12030
P23639	P40303
P53045	Q06135
P09064	P38199
P15705	P20053
Q02821	Q03954
P09734	P32328
P32602	Q06216
P53632	Q12464
Q12124	Q12343
P15891	Q12134
P32562	P47113
P39540	Q12402
Q08986	Q12450
P38084	P47082
P14832	P23748
P33336	P38334
P38822	P53731
P27999	Q12025
P02829	P41811
Q06822	Q12404
P18851	P39010
P40204	Q07350
P04385	Q12152
P22134	P25847
P38729	P53181
P14736	P32628
P25655	Q12514
P00546	P25364
P53955	Q04749
P04840	P06781
P10961	P38889
P40548	P53322
P19882	Q12417
P25343	P38266
P30605	P31381
P04817	P47154
P13712	Q04748
Q12433	Q92328
P06169	P36068
P40422	P41896
P39548	Q08980
P53632	P54115
P53261	Q02256
P32605	P53207
P03965	P38316
P38753	Q01532
P06774	Q12074
P04050	P53842
P36108	P40027
P39718	Q07418
P11076	P34760
P11978	P32807
P35723	Q06644
P32496	P32628
P00817	P22216
P32915	P40319
P09733	P46963
P39743	Q06673
P25343	Q12446
P27514	P38264
P14922	P27705
P07834	Q08446
P29311	P36017
P38428	P53009
P40060	Q06410
P30822	Q04377
P07703	Q03921
P25344	Q12335
Q04067	Q06324
P38351	P38439
P29295	P32582
P17883	Q05636
P24482	P27344
P53551	Q04149
P17214	Q12754
P19735	P20053
P18494	P35169
P53323	Q08490
P11986	P43601
P08456	P35206
P36009	Q12329
P14736	P61864
Q02873	Q05934
P23595	Q12059
P25635	P32377
P29704	P40582
P32900	Q07457
Q02516	Q02794
P23301	Q08273
P00360	P43601
P54837	Q05359
P18851	P25303
P32605	P53863
P40413	P53904
P32449	P32614
Q02889	Q06208
P34252	P40513
P06786	P25644
P47068	P47093
P28584	P36164
Q03718	Q12429
P09733	P53904
P19358	Q03957
P25847	Q06629
P21951	P28007
P04801	P32569
P38064	Q12487
P14724	Q08683
P37267	Q07376
P08458	P16140
P29311	Q04675
P38241	Q12417
P25336	P31539
P00546	P39016
P33748	P34730
P50094	P53861
P38077	P40348
P32598	Q01329
P25694	P36037
Q02795	Q03289
P32481	Q04477
P40078	Q04660
P38889	P53968
P40348	Q02821
P11484	P39108
P09032	P20459
P06774	P51601
P32496	Q12446
P30822	Q08550
P27515	P38987
O13574	P38342
P04817	P38264
P03069	P38129
P10961	P28006
Q04048	Q06091
P38264	Q99190
P53323	Q12250
P39008	P53280
Q03177	Q12343
P43579	Q03435
P38129	P38840
P47135	P54730
P0C2I0	P24869
P11972	P32854
P14741	P20459
P04819	P07251
P39968	P40003
P38915	P50875
P25342	P46672
P32787	Q07623
P53970	Q04149
P41543	Q02795
Q05905	Q06208
P13134	P46961
P12904	P43639
P22147	P38203
P25694	P34223
P36017	Q06616
P29055	P38429
P30283	P47135
P40352	P54115
P30822	P40167
P06783	P39010
P30656	Q12250
P40896	P53259
P32562	P53934
Q02821	Q12134
P46677	Q05021
P38277	P39014
P06781	P33420
P32468	P46670
P19414	P29295
P12753	P33895
P17629	P53599
P15424	P38779
P12398	P38719
P09232	P38316
P07342	P25342
P40988	Q06436
P17214	P21304
P38085	Q06135
P25293	P40971
P19882	P23594
P11747	Q05021
P00546	P47079
P04806	P26188
P32790	Q12270
P09733	P53632
P12398	Q06440
P12904	P32578
P37302	Q08955
P07260	Q07623
P00927	P38288
P12398	P33750
P53115	Q12464
P29055	P43560
P06838	P19358
Q00772	Q12224
P28272	Q00246
P02400	P38067
P27999	Q07362
P00924	P11076
P33328	P35197
P25582	P53927
P12709	P39940
P25491	P33298
P16474	P22216
P41940	P53323
P17423	Q02821
P39743	Q12477
P37838	P40010
P36084	Q07350
P06839	Q08224
P38361	Q07824
P32803	Q99380
P25344	Q04048
P06780	P51862
P22336	P41800
P29469	P32875
P36018	P39958
P32902	P53050
P19882	P23624
P60010	Q12446
P16474	P53632
P23201	P40460
P32916	Q03824
P19524	P89105
P25655	P48360
P42843	Q03940
P38822	Q12154
P16892	P38860
P39076	P39108
P38304	Q12124
P38348	P40327
P29055	Q12232
Q02630	Q04934
P38346	Q02794
P60010	Q02159
P19736	Q12080
P10592	Q12004
P15790	P23615
P53174	Q99382
P15019	Q02821
P10869	P36159
P48240	Q02574
P25635	P38882
P40570	P53550
P30771	Q12250
P14737	P60010
P32381	P35191
P38079	P40319
P39730	P40024
P38264	P53176
P15019	P17967
P25368	P53254
P07703	P41940
P06774	P41277
P38313	P39946
P38358	P47135
P06782	P38915
P42846	Q07623
P21374	Q04048
P32523	Q12309
P46988	Q08904
P32939	P53845
P12709	P32641
P12612	P28320
P46989	P53036
P39940	P53152
P38278	Q06385
P32914	P40164
P02293	P40466
P00830	P32468
P25694	P61864
P25611	P33893
P54837	Q04491
P23595	P30656
P34077	P52593
P40020	Q06199
P05318	P29055
P53069	Q12156
P21538	P21576
P07342	Q99186
P20676	P33331
P16862	P27636
P29295	P34217
P19882	Q12505
P04385	P07703
P34217	P38633
P33895	P38620
P35191	P38726
P12709	Q12476
P38112	Q04660
P40075	Q00402
P35723	Q12078
P31539	P40354
P14741	P39004
P40018	P40070
P32468	Q01649
P38911	Q04149
P38987	Q03940
P43637	Q03048
P06782	P10659
P34730	Q06150
P20676	P30822
P32618	P39969
P04840	P23291
P40303	Q12245
P40335	Q06208
P53924	Q02979
P25046	Q12321
P02294	P24814
P32558	Q04636
P22202	P53940
P09734	P25347
P07251	P22336
O13577	Q06224
P20604	P53549
P00360	P07703
Q03785	Q04048
P29366	P32944
P32074	P40094
P39004	Q07949
P09733	P34164
P22137	Q04477
P32562	Q12158
P38334	Q03660
P38304	P41896
P32639	Q02554
Q03338	Q06410
P38884	P38987
P04050	P35189
P47090	Q03981
P34730	Q06251
P04173	Q03010
P20448	P42841
P38699	Q12246
P38615	Q03612
P10849	P19736
P25635	P53131
P39992	P54786
P04819	Q08224
P23285	P47135
P38328	P40518
P32480	P32591
P13393	P32494
P04911	P80428
P16140	P53894
P06169	Q12154
P16649	P43124
P06701	P07256
P32328	Q12464
O13543	P29055
P38163	Q06410
P19658	P32855
Q12527	Q99325
P40533	Q06208
Q12159	Q99257
P39540	P53633
P38321	P53094
P38236	P40971
P06780	P38631
P32491	Q03940
P35177	P50102
P38271	Q02574
P32796	Q08234
P32628	P40327
P26321	Q07395
P22696	P27692
Q08492	Q12513
Q03205	Q06689
P08518	P26188
P39987	P53894
P38930	P40070
P32565	Q12250
P34217	P40456
P07342	P25453
P32494	P33200
P17709	Q00684
P24583	P54786
Q04693	Q07508
P33299	P43593
P12398	P32381
P32771	P40054
P54113	Q05934
P38316	P40016
P10081	P38987
P38885	P53932
P09032	P32501
P04173	P47912
P25651	Q04087
P27514	P38147
P29468	P45976
P38615	Q03964
P17883	P32527
P47090	Q99380
P32494	Q06410
Q02574	Q12138
Q12124	Q12321
P07248	P07703
P14741	P32501
P33328	Q04359
P23641	Q04675
P32569	Q04471
P00546	Q12066
P33401	Q12349
P00360	Q12363
P43614	P53726
P02994	P38203
P29703	P54787
P36102	P53010
P02365	P40089
P24783	P38199
P47079	Q08496
P00175	P32897
P09733	Q04437
P38886	P43593
P30619	P36018
P47128	P52917
P32915	P33754
P32353	Q07824
P22141	P38624
P12398	Q05498
P25611	P53887
P09733	Q12477
P15108	P17157
P29055	Q12415
P20424	P38687
P35169	P42944
P53622	Q03940
P07259	P39729
P25343	P47152
P27637	Q12512
P20457	P38121
P43572	Q12692
P40991	P43639
Q01939	Q07844
P00546	P53071
Q05080	Saccharomyces cerevisiae
P53927	Q12754
P12709	P38590
P31111	P33895
P36520	P36533
P53040	Q05027
P39111	P48836
P36154	Q06204
P19882	P32562
O13556	P15938
Q08904	Q12199
P00950	P22204
P06169	P32598
P47017	P48582
P43562	Q03818
P38753	Q06108
P22139	P32328
P21264	Q06822
P53915	Q08817
P06839	P40469
P07703	P12709
P00830	P35182
Q06208	Q08581
P19659	P52918
P04385	Q06436
P38993	P40548
P15873	P38251
P38339	Q05080
P32569	P35202
P40055	Q12211
P05317	Q05881
P24719	P38708
P30771	P48412
