Protein1	Protein2
P38130	P38822
P22353	P31334
P10964	P47035
P32264	P53843
P31334	P36531
P06787	P39563
P06839	P16474
P15705	Q06640
P50080	Q12396
P38353	P40319
P38147	P40316
P07257	Q00916
P25847	Q06623
P15873	P38920
P12683	P40548
P19262	P25646
P32366	P38784
P11972	Q12301
P10507	P38144
P02829	Q12449
P14741	P40466
P43321	Q12368
P06244	P39954
P38283	P38991
P38957	Q12318
P29704	Q06208
P16861	P32381
P47135	Q04083
P11747	Q12030
P26755	Q08224
P20133	Q00618
P46956	P50944
P07342	P22133
P53746	Q12359
P38745	Q06208
P32558	P32628
P38316	P40069
P32502	Q08904
P25615	Q08387
P06738	Q04964
P38264	Q04651
P38112	Q12176
P06243	Q08975
Q01722	Q12181
P35195	Q12306
P11710	P38185
P12709	P22211
P32499	P39705
P28239	P50091
P32639	Q02554
P04173	P25343
P25694	Q03785
P12385	P37838
P13382	P39008
P28007	Q07623
P07260	P11484
P07991	P38719
P35728	Q06102
P16861	P38719
P36019	Q08975
P43132	Q03012
P38264	Q99385
P39960	P40991
P17157	P40038
P53202	Q05899
P43593	Q12377
P09624	P38319
P42846	Q00776
P53281	Q02821
P08456	Q06644
P00950	P23291
P09032	P12754
P25358	Q04651
P35817	P53201
P39744	Q06436
Q06211	Q08273
P19454	P40466
P34232	Q03012
P08524	P19735
P20448	P32598
P40364	Q05580
P41318	P42943
P14904	P15108
P32259	P33307
P53942	Q06208
P05986	P07259
P19882	Q04922
P32806	Q08960
P53309	P53934
Q12164	Q12177
P34730	Q00684
P29055	Q12680
P15790	P19454
P38298	Q04399
P39992	P54786
Q04660	Q07896
P24719	P42222
P48439	P53751
P36528	P38699
P33313	P48362
P10823	P39717
P32598	P42073
P25045	P49018
P37838	P40010
P38764	Q07549
Q03667	Q06245
P11076	P34760
Q12450	Q99190
P32803	P36057
P53877	Q06410
Q00772	Q06139
P38203	P89102
Q02873	Q05934
P39540	Q06644
P16603	P38090
P36047	P39003
P53039	P53296
P38842	P40548
P06243	Q12094
P14741	P32610
P07149	P53333
P16151	Q12164
P60010	Q04437
P32912	Q12270
P22137	P32590
P33298	Q04660
P32366	Q03178
Q06593	Q12233
P32793	P39743
P19882	P41735
P39723	Q00916
P00924	P32911
P43603	P47052
P32523	Q12046
P37296	P39076
P14741	P40215
P20437	P21268
P23337	P40050
P10823	P12695
P15790	P47079
P42947	P47135
P47068	Q12216
P10659	Q04437
P47105	Q02821
P25635	Q12499
P04806	P05317
P08539	P38268
Q03388	Q05471
P06843	P17709
P22804	P39547
P53344	Q06135
P25621	P53751
P32505	Q92973
P02994	P38720
P15992	P33322
P32618	Q12125
P41940	P43612
P31116	P39743
P04397	P38700
P38217	P46367
P46673	Q02199
P38879	P47135
P38277	P40956
P11163	P34167
P38627	P43321
P47135	P47165
P39987	P53861
P15108	Q02821
P10662	P28817
P52891	P53550
P03588	Q04947
P47115	Q02821
P48813	Q05934
Q03655	Q04697
P38429	Q07458
P31384	P60010
P00044	P53823
Q08533	Q08949
P40319	Q99190
P31374	P32861
P35191	P41808
Q02821	Q03782
P12709	P33329
P40971	P53344
P07703	P16861
P32458	P38690
P12709	Q02821
Q06675	Q12513
P07991	Saccharomyces cerevisiae
P25367	P31384
P06169	P32911
P50088	Q08754
P19882	Q03020
P16474	P53599
P33759	P38883
P06838	P10081
P04161	P36108
P22336	P40051
P05753	P53963
P32569	Q08213
P53861	P53914
P00950	P31244
P25491	P53156
P38126	P38633
P32605	P34160
P36224	Q07887
P06103	Q05775
P53045	P53386
P32892	P38789
P04386	P13393
P32367	Q02629
P47149	Q12267
P33203	Q02336
P38822	P40453
P25367	Q03897
P34077	P48837
P10823	Q08975
P38282	Q12420
P14741	P32481
Q02969	Q06449
P32893	Q04183
P33767	Q92316
P02829	P17157
P27999	P39563
P29311	Q00684
P22224	P25344
P25358	P53322
P40465	Q02821
P02294	P32597
P39969	P40073
P26448	P48238
P00546	P10659
P12868	Q03308
P18562	Q12154
