protein1	protein2	weight
P49715	Q9NW64	0.053714
P49715	Q13356	0.053714
P49715	O75586	0.138573
P49715	P12814	0.013805
P49715	O60942	0.053933
P49715	Q96EV2	0.027349
P49715	P17676	0.210024
P49715	Q13547	0.089892
P49715	O95373	0.026980
P49715	O95071	0.066040
P49715	Q96C86	0.080572
P49715	Q15744	0.371208
P49715	O75940	0.053960
P49715	Q15717	0.056394
P49715	Q14683	0.049327
P49715	Q13887	0.239132
P49715	P49841	0.047583
P49715	Q9NQW6	0.028431
P49715	P78347	0.221501
P49715	Q96ST3	0.106178
P49715	P18847	0.291610
P49715	Q8TAQ2	0.086073
P49715	Q9BQ61	0.000000
P49715	P10276	0.120090
P49715	Q9UKL0	0.138557
P49715	Q8N684	0.056047
P49715	Q14004	0.051125
P49715	O75937	0.053714
P49715	P17947	0.170014
P49715	Q16254	0.214003
P49715	O14965	0.022864
P49715	O60869	0.134848
P49715	O60315	0.134568
P49715	P38936	0.043057
P49715	Q15233	0.153277
P49715	Q93074	0.068621
P49715	O00148	0.071600
P49715	P15336	0.147300
P49715	Q9UKD2	0.027103
P49715	P05412	0.232534
P49715	Q92925	0.089691
P49715	Q86YP4	0.109952
P49715	Q13309	0.126492
P49715	P09874	0.116612
P49715	Q9C0J9	0.216254
P49715	Q06546	0.302428
P49715	P13010	0.061409
P49715	Q16665	0.110953
P49715	Q9BZK7	0.153591
P49715	Q06547	0.135073
P49715	P23246	0.196873
P49715	Q01844	0.143914
P49715	O94776	0.155235
P49715	O95218	0.026857
P49715	P67775	0.010319
P49715	Q9BUJ2	0.059574
P49715	P51532	0.080983
P49715	Q96G25	0.111366
P49715	Q8IY67	0.027295
P49715	Q9H3P2	0.080572
P49715	P15407	0.170604
P49715	Q9NVC6	0.117573
P49715	P62805	0.087445
P49715	P25490	0.135234
P49715	Q9UPN9	0.161866
P49715	P45983	0.045066
P49715	P49336	0.111169
P49715	Q92769	0.064015
P49715	Q96CB8	0.054277
P49715	Q9HD26	0.025157
P49715	Q9HCK8	0.092735
P49715	P50750	0.068418
P49715	Q96AE4	0.109397
P49715	P13984	0.107600
P49715	P47902	0.236842
P49715	Q16630	0.047741
P49715	Q8IU81	0.108216
P49715	Q6IN85	0.027907
P49715	Q9P2N5	0.028826
P49715	P15927	0.070174
P49715	P23193	0.137785
P49715	P27694	0.043419
P49715	P33992	0.044619
P49715	Q15648	0.106584
P49715	Q05516	0.133095
P49715	Q09472	0.107270
P49715	Q96L91	0.082274
P49715	Q969G3	0.096815
P49715	Q96NC0	0.080572
P49715	Q92945	0.093648
P49715	P35638	0.170087
P49715	Q96J02	0.020723
P49715	Q8N7H5	0.107923
P49715	Q05086	0.026878
P49715	Q96CP2	0.000000
P49715	Q96KR1	0.055964
P49715	P04637	0.167294
P49715	Q92993	0.086999
P49715	Q7Z5L9	0.107757
P49715	P51531	0.141507
P49715	P06400	0.104142
P49715	P49792	0.050656
P49715	Q96RK0	0.192429
P49715	O75832	0.104334
P49715	Q14686	0.143149
P49715	O60828	0.091267
P49715	O75925	0.110358
P49715	Q99583	0.248801
P49715	P51610	0.131616
P49715	P85037	0.215598
P49715	Q96RN5	0.057651
P49715	P11802	0.089819
P49715	Q8TCU5	0.014706
P49715	Q92793	0.078321
