protein1	protein2	mean_weight	weight
P17536	P40414	0.4175199588732625	0.08421052631578947
P33201	Q08004	0.4931646972074426	0.03365384615384615
O13329	P47035	0.3528024189488338	0.022408963585434174
P02829	P43639	0.1416404537514894	0.0003557874762808349
P46947	Q06697	0.2756091965785221	0.002105263157894737
P02829	P23833	0.2509156867215942	0.0
P53939	Q08229	0.3477463376906601	0.008333333333333333
P06738	P40036	0.293174560200616	0.004464285714285714
P07278	P18412	0.3459184228585024	0.005291005291005291
P30822	P38817	0.3064984503809612	0.0
P06701	P53973	0.2307997881229318	0.0
P33328	P41832	0.3533009081802158	0.0
Q02629	Q02892	0.2755684054468508	0.002435064935064935
P53035	Q02555	0.3655236859708723	0.0
P32468	P36022	0.2970188683760751	0.00035612535612535614
P22147	P53550	0.3993688303373054	0.015810276679841896
P40339	Q12050	0.4526714641624865	0.024150943396226414
P14682	P52286	0.4428158233794927	0.016931216931216932
P06778	P26755	0.4861996530735614	0.003061224489795918
P25588	P47110	0.4345330388357056	0.05997552019583843
Q04660	Q07915	0.5175373166195467	0.10886189833558255
P15705	P31539	0.2378324562564691	0.002898550724637681
P39685	P47042	0.3174907344473915	0.0
P18480	P50875	0.124232888167543	0.011730205278592375
P53063	Q07845	0.3402034460675275	0.0
P24869	P47035	0.2947792548300709	0.011583011583011582
P0CF20	P38203	0.1450263022917385	0.0
P32447	Q12050	0.3808879932051991	0.08615165539337842
P32902	Q06678	0.4724902598366072	0.0
P38886	Q08723	0.4495530624465492	0.13420572124163116
P28795	P53112	0.5525442018008708	0.0
P32578	P34164	0.320598344780869	0.10330578512396695
P49626	Q08492	0.238295588424173	0.0028735632183908046
P33298	P43593	0.4762486900184003	0.07606490872210954
P24867	P25588	0.1017076524635504	0.0031007751937984496
P22141	P25451	0.396087202057908	0.029304029304029304
P04386	P38129	0.0939232514619883	0.03554641598119859
P48363	Q07887	0.3161859477412854	0.01956521739130435
P23561	P46671	0.1429981359364517	0.007075471698113208
P07560	P32844	0.3723291549798964	0.08333333333333333
P22224	P89102	0.4101663518291744	0.23275862068965517
P18544	P47093	0.1917937819291364	0.0
P27895	P36041	0.2243026409013707	0.0
P39729	P39935	0.3181209359055956	0.002127659574468085
P43568	Q05949	0.1189789137802518	0.007142857142857143
P35189	Q12321	0.2851059883367049	0.061610076670317634
P46669	P50106	0.3590305482181222	0.005
P32497	P38431	0.3464636947238107	0.09695512820512821
P30822	P49687	0.2266307683699328	0.016917293233082706
P0CX47	P25586	0.2036346334143307	0.015151515151515152
P35728	P42073	0.3654085011914509	0.21304347826086956
P06780	P23201	0.3284732682642518	0.0069213732004429675
P35187	P40072	0.3831961435415291	0.03375
P32468	Q06407	0.4268853449199574	0.004273504273504274
P12753	P24719	0.4037840343444981	0.005681818181818182
P38771	P53261	0.3123599790822819	0.0
P40567	Q04005	0.3334498671260817	0.0034482758620689655
P32657	Q12030	0.3388311925836382	0.05297297297297297
P38208	P38291	0.5406340775600473	0.0625
P08432	P22082	0.2219060370654149	0.003048780487804878
P34216	Q05518	0.3761913536518803	0.0
P20485	P33334	0.1344321661025388	0.0009578544061302681
P31539	P40354	0.2037462462377172	0.0
P53236	Q05123	0.2075449869965304	0.05861244019138756
P38128	Q12224	0.4525252766827677	0.0
P32641	P53840	0.3362195521605872	0.02883506343713956
P19073	P39678	0.2381074329283726	0.003289473684210526
P35169	P38859	0.3831779966549838	0.001851851851851852
P32381	Q05933	0.1822035050167354	0.01956521739130435
P23724	P40555	0.3557063293544393	0.005681818181818182
P36056	P53305	0.5128117680945681	0.03333333333333333
P37370	Q04493	0.2187975885309431	0.010044642857142858
P40958	P53892	0.428820420256722	0.0
P24871	Q12163	0.410594731823871	0.0
P25604	P27614	0.4700435479856265	0.0
P25453	P32863	0.3622458846958634	0.005806451612903226
P18480	P35189	0.2631380343682149	0.02217962760131435
P21538	Q03761	0.1004626821283601	0.0007763975155279503
P41930	Q02196	0.3889028821305162	0.0
P38805	Q12522	0.3728502903085833	0.04283216783216783
P19073	P21268	0.2295366741032106	0.003898635477582846
P35189	Q08561	0.2752542050299257	0.0
Q08162	Q12277	0.3506540300240624	0.153125
P0CX38	P38333	0.3271465484639154	0.0020161290322580645
P49704	Q03338	0.2874258208660467	0.11126373626373626
Q02159	Q08109	0.5661611940229505	0.02631578947368421
P33338	P34216	0.3965985004339229	0.01240079365079365
P36160	P38883	0.2837617519828493	0.05633333333333333
P05750	P25586	0.309805004668238	0.0025252525252525255
P31244	P43321	0.0784093257081912	0.0
P13393	P32786	0.209799766492941	0.0022675736961451248
P14681	P25297	0.2192526757442493	0.0
P33203	P53207	0.4613653179961914	0.13368983957219252
P23639	P30657	0.3445378911730801	0.09688995215311005
P32639	P39732	0.451823652909589	0.0
P36161	Q12223	0.2208685534538478	0.006319514661274014
P02994	P41832	0.2780673847648408	0.000216076058772688
Q07844	Q12471	0.320278409759378	0.0
P31385	P46995	0.3709035925890161	0.01939655172413793
P15891	P50942	0.2669979232489723	0.003898635477582846
P33298	P40339	0.0473073200616696	0.001568627450980392
P21268	Q02821	0.2993358907688452	0.000892458723784025
P53040	P53165	0.2066160269293648	0.041245791245791245
P14681	Q06108	0.3040195676352019	0.0
P38272	P46677	0.3613035624125698	0.0
P38720	P53086	0.2146631579902148	0.0
P06787	P50108	0.2055234322760186	0.0003604902667627974
P23179	P32944	0.2172204118828061	0.005776636713735558
P28004	P52891	0.1196823179289767	0.00041322314049586776
P22133	P40469	0.3278935697430572	0.0
P12962	Q04739	0.4516393339801263	0.0
P40024	Q03690	0.2247241338577645	0.0003633720930232558
P08004	P46969	0.2084532430971702	0.0
P38877	P53900	0.2966763077122836	0.03263324299909666
P20437	Q03373	0.3791657903528582	0.017241379310344827
P32944	P38853	0.2073401866480212	0.0024390243902439024
P39706	P47150	0.3317500330460057	0.0
P40368	Q12315	0.4525944307134997	0.01282051282051282
P27895	Q08581	0.2996262180615299	0.021183473389355743
P00572	Q02772	0.2337692267529716	0.0
P40064	Q02630	0.3004890885752482	0.013528138528138528
P32526	P33420	0.2180670697363603	0.051658163265306124
P38968	P43639	0.0368096435021116	0.0030721966205837174
Q01560	Q99383	0.3471233065640008	0.006155950752393981
P40958	Q08490	0.2703722347724039	0.01267605633802817
P17157	Q03653	0.2891629702867186	0.0
P11655	Q08109	0.3981228103315247	0.0
P11433	P48562	0.3699411360164417	0.00943952802359882
P02829	P25654	0.2757495830086831	0.0
P07834	P22336	0.3283504057142779	0.0
P25582	P53261	0.2982512009681776	0.02722222222222222
P04911	Q06142	0.4345757241827017	0.004451566951566952
P47822	Q12030	0.117912597083093	0.045454545454545456
