protein1	protein2	weight
Q16540	Q9BYD1	0.438004
Q16540	Q9Y3D3	0.337118
Q16540	Q13084	0.477949
Q16540	O60783	0.385200
Q16540	Q9BYC9	0.370173
Q16540	Q9BQ48	0.546357
Q16540	Q9H2W6	0.515128
Q16540	Q14197	0.419666
Q16540	Q9Y3D9	0.359265
Q16540	Q9NX20	0.469455
Q16540	Q9NP92	0.520039
Q16540	Q96DV4	0.483160
Q16540	Q96A35	0.408690
Q16540	Q6NVY1	0.196568
Q16540	Q9NWU5	0.412290
Q16540	P82914	0.392936
Q16540	Q4U2R6	0.501699
Q16540	P82930	0.384416
Q16540	Q96E11	0.199352
Q16540	Q9BYC8	0.405641
Q16540	Q9BRJ2	0.484966
Q16540	P09001	0.405642
Q16540	Q86TS9	0.498548
Q16540	P82673	0.423401
Q16540	Q7Z7H8	0.579947
Q16540	Q5T653	0.403329
Q16540	P82664	0.264477
Q16540	Q9P0K9	0.000000
Q16540	P62269	0.119109
Q16540	P49411	0.267064
Q16540	Q7Z2W9	0.373873
Q16540	Q8TCC3	0.516011
Q16540	Q8N5N7	0.480590
Q16540	P82675	0.328665
Q16540	Q13405	0.522057
Q16540	Q8IXM3	0.589935
Q16540	P62829	0.126189
Q16540	Q9Y6G3	0.555198
Q16540	P82912	0.361738
Q16540	O14561	0.174679
Q16540	Q96GC5	0.383483
Q16540	Q9HD33	0.507524
Q16540	Q9BYD2	0.392083
Q16540	O15235	0.327887
Q16540	Q5T8A7	0.131044
Q16540	Q9Y399	0.342277
Q16540	Q8N983	0.553569
Q16540	Q6P1L8	0.414979
Q16540	Q9P015	0.530728
Q16540	Q9NVS2	0.544633
Q16540	P82933	0.320124
Q16540	Q92665	0.317066
Q16540	Q9BQC6	0.354153
Q16540	Q96BP2	0.387689
Q16540	Q9BZE1	0.549608
Q16540	P51398	0.440499
Q16540	Q6P161	0.540279
Q16540	Q9NZE8	0.457178
Q16540	Q9H0U6	0.490526
Q16540	Q9BYD3	0.405417
Q16540	Q9P0J6	0.354964
Q16540	P49406	0.346016
Q16540	Q92552	0.271510
Q16540	O75394	0.360044
Q16540	Q9Y2R9	0.382343
Q16540	Q9NYK5	0.509966
Q16540	Q9NRX2	0.322184
Q16540	Q9BYD6	0.392803
Q16540	Q9H9J2	0.530298
Q16540	Q9P0M9	0.407316
Q16540	O95456	0.005081
Q16540	Q9Y291	0.336450
Q16540	A0A1B0GV85	0.000000
Q16540	P82932	0.300535
Q16540	Q8TAE8	0.407391
Q16540	Q9Y3B7	0.450359
Q16540	P82663	0.405764
Q16540	Q9NQ50	0.546256
Q16540	Q7Z7F7	0.473466
Q16540	Q96EL3	0.395584
Q16540	P52815	0.406107
Q16540	Q9Y3D5	0.461944
Q9BYD1	P04406	0.027045
Q9BYD1	Q96EL3	0.275227
Q9BYD1	P62266	0.191709
Q9BYD1	Q9Y3B7	0.567126
