protein1	protein2	mean_weight
P33201	Q08004	0.4933557088302845
P17536	P40414	0.4167374470381191
P00549	P32891	0.31717792586551785
O13329	P47035	0.3536869390807588
P25642	P36527	0.36593245792569257
P36044	P38069	0.4672992275369438
P53939	Q08229	0.37529263398695645
P04147	P32605	0.08481369018723582
P36009	P45818	0.4254480493599674
P52488	Q12216	0.4031295007431029
P38341	P50087	0.6038218943080781
P06839	P31244	0.09880882447589286
P18480	P25632	0.1671666864782833
P54780	Q08745	0.2537631176412889
P36144	Q12220	0.30407776464411834
P26321	P33442	0.36764695776824086
Q06217	Q99177	0.26253843825446355
P32559	P53875	0.14723000609709683
P25302	P26449	0.32541182665197615
P22147	P53550	0.4004644075291463
P47064	Q12028	0.2695790764921677
P32561	P38827	0.41121296039707517
P20459	Q08745	0.23053140379276454
P20084	P26783	0.10800923367599452
P40339	Q12050	0.4548935934392677
P05737	Q08972	0.27522881051116443
P14682	P52286	0.4435529414522082
P06778	P26755	0.4862375305745136
P33759	P36521	0.34122231269196696
P04786	Q04149	0.18616298948033239
Q04660	Q07915	0.5172586562558913
P32610	P32842	0.28122093558567796
P15705	P31539	0.24041960437487642
P53063	Q07845	0.2567150845506457
P24869	P47035	0.29499916320749403
P17076	P38861	0.42442236702953046
P32902	Q06678	0.3556400644904383
P0CX37	Q3E7Y3	0.27328263065133657
P10614	Q12151	0.30920433574802314
P38886	Q08723	0.45195101424879786
P28795	P53112	0.41958584742908445
P25443	P53276	0.41357601111929615
P32578	P34164	0.33882730044715764
P00445	P06115	0.4733283931518562
P34078	P48164	0.19133360064972835
P0CX51	Q08972	0.2506629624676941
P33755	P38121	0.13148985874608318
P49626	Q08492	0.2383037226198267
P38156	P53338	0.26988287259154514
P05739	P0C0X0	0.2444399785769163
P05744	P47150	0.3502403566239431
Q08273	Q99344	0.21281879073513316
P33298	P43593	0.47919571754932194
P05317	P05743	0.4601410289778322
P22141	P25451	0.40005334717401364
P05743	P39015	0.23051158874319505
P00560	P16861	0.2699378215643392
P07703	P33759	0.30135334093362914
P48240	P53725	0.29098863645886025
P16521	P46990	0.10904606501444761
P07560	P32844	0.3740011650001207
P0CX39	P38249	0.2392136571050709
P22224	P89102	0.4138313737589989
P38711	Q08444	0.3017391643963364
O13516	Q04305	0.3803043157943445
P0CX39	P49626	0.3362330565544102
P41834	Q01590	0.3352515758253094
P20447	Q08746	0.44688269020254173
P06169	P16387	0.24126487937467295
P14741	P34078	0.22521896320820142
P40540	Q12025	0.4705267614173734
P48582	Q06696	0.30297121541390415
P32776	Q08816	0.3256923222378512
P05749	P05755	0.3629990542827514
P12686	P36516	0.5533563789463188
P46669	P50106	0.3635797528714936
P0CX39	P39730	0.3467100343098517
P04650	P0CX86	0.5081876416335168
P05749	P41057	0.41387338783140143
P32497	P38431	0.3474386282496492
P40565	Q02770	0.3695013931304276
P0CX47	P25586	0.20373352633554212
P35728	P42073	0.3706989232073338
P39076	Q12017	0.32039969431147036
P26783	Q04177	0.35678304865928356
P05740	P26785	0.3991477631018584
P0CX25	P17076	0.525839163790961
P52489	Q12055	0.3344870240770973
P07273	P32569	0.24365727757499167
P32892	P46990	0.260273810428118
P40302	Q04062	0.28610868367441805
P35187	P40072	0.3830539676760594
Q02196	Q12041	0.3055140602129784
P0CX29	P26784	0.39974966646472915
P32562	P40958	0.1998262205443172
P25038	P38120	0.35682212624053006
P16140	P21306	0.3461186893811718
P29056	Q12415	0.2740471213855668
P37838	Q08965	0.4344325223100124
P32657	Q12030	0.33952784442459444
P18852	Q03497	0.2570034929507203
P38208	P38291	0.5454455854965552
P36105	P39939	0.3098942725659238
Q12080	Q12499	0.27805506484680903
P33753	Q04660	0.24258728871878887
P38751	Q03071	0.2587521333180661
P11325	P36421	0.4031038671174115
P25382	P26321	0.31213646866695827
P40362	Q06512	0.47731579532382895
P38112	P53131	0.2983683497275926
P53236	Q05123	0.21129670473618453
P26364	P35202	0.2364460840770938
P32611	P36519	0.362865730019794
P25626	P36533	0.5955112906769502
P0CX41	P25626	0.3507852998013989
P53276	Q06631	0.47581629858785823
P04801	P07284	0.5161705559957226
P32381	Q05933	0.186336542039696
P32905	P39516	0.4237708442716405
P05745	P14127	0.30077522377813665
P27697	P41735	0.4997167888603716
P04456	P47150	0.2694069605191732
P38064	P38701	0.06809446797385109
P02992	P36519	0.2185222561054485
P22139	P53064	0.10313419124708789
P36056	P53305	0.5136830804242137
P26321	Q3E757	0.5390936275447568
P00045	P38818	0.2485448826127623
P10663	Q3E754	0.36848991698993894
P10127	P54115	0.30854358918847485
P39516	Q02608	0.26571490031731876
P07807	P37292	0.27957216536346274
P05750	P38064	0.1348837445397041
P25453	P32863	0.36243878486903447
P17423	Q04533	0.22749178228078018
P39012	P43571	0.3215534735273008
P02293	P32558	0.3947590642594928
P08019	Q08295	0.37146713459481295
P42847	P53881	0.3404636038420526
P07280	P38333	0.31227106561988377
P38061	Q08745	0.34493733288361633
P00830	P41807	0.3385821781281428
P18480	P35189	0.26324756701693675
P36009	P40362	0.32959362884064625
P38805	Q12522	0.37331412399252567
P19073	P21268	0.22953011151926497
P35189	Q08561	0.20717714357018108
P53937	Q02608	0.42288813917021995
Q08162	Q12277	0.3481125199989998
P53254	Q3E7X9	0.21521944033694074
P49704	Q03338	0.289762016213751
Q02159	Q08109	0.5692898489937107
P33338	P34216	0.39825365385538064
P60010	Q06580	0.19475171861439936
P0CX49	P46784	0.27823289240946325
P32462	P40030	0.5419956920261189
P36160	P38883	0.28377056492457914
P25642	P36531	0.5207035704889816
P05750	P25586	0.30985068902748825
P05750	P10964	0.21053139591543804
P28007	P48567	0.14840696407094017
P05318	P35997	0.23301401435905492
P36145	Q02939	0.23958791906722351
P22580	P40047	0.2467474642191967
P53877	Q07896	0.40125556827768805
Q06106	Q12499	0.24429192103546643
P09624	Q07471	0.31518892897374345
P20676	Q03790	0.3875474869020892
P36531	P40496	0.41364867372186004
P38701	Q12196	0.15263261422872104
P13393	P32786	0.20992634931167456
P33203	P53207	0.4642073051066862
P39076	Q04493	0.28345505824031353
P23639	P30657	0.34783658359960834
P11792	P41318	0.313598894975979
P10663	P36527	0.30816446533326486
P20447	P35178	0.44186954126012734
P53276	Q06106	0.40579825266246433
Q05911	Q12055	0.2193693793524146
P33201	Q08962	0.3961650245994407
Q12149	Q12460	0.36503460529714354
P02406	P38120	0.28588280278002826
P35202	Q08224	0.4314996576421735
P15938	Q06091	0.2819543206149138
P05755	P39015	0.26850592426684333
P39112	P48240	0.335012847600349
P33202	Q01476	0.267598201909469
P53131	Q08963	0.3578731287298185
P38701	P38754	0.17761372723901114
P80235	Q12289	0.3593571847797463
P0CX37	P41819	0.2062881711051416
P05740	P53136	0.36864173592143373
P53040	P53165	0.21008712596052279
P0CX51	P25294	0.20271200590430324
P26786	P36519	0.23888664745193416
Q12207	Q12230	0.3297904650203075
P25642	P28817	0.46664439699801014
Q06631	Q12460	0.39183306975649385
P47047	Q04305	0.3925145981004354
Q06512	Q08492	0.32373248545990047
P23301	Q02608	0.2895075093692971
P04456	P51998	0.3285767628162886
Q3E7Y3	Q99216	0.26357287753435094
P05740	P36105	0.28551113563669783
P38426	P38709	0.26199195269432873
P32504	P50623	0.3568106751276616
P0CX47	Q05946	0.3584512422373683
P00927	P16120	0.2735083478146606
P14126	P32905	0.39759679265458137
P29453	P40212	0.4271759435803428
P05759	P26784	0.39791335680927015
P38249	P46784	0.22701673585607052
P36160	Q12136	0.5012666728604734
P0CX47	P36105	0.3532243330154035
P05750	P36533	0.3831810144859962
P38711	P48589	0.5187392144421927
P32388	P36526	0.5353897421657586
P0CX55	Q12220	0.2632307577539124
Q03919	Q92325	0.324408972378285
P38120	P46943	0.24295517187408047
P04456	Q04599	0.29093922834777397
P33750	P47083	0.5058466436938178
P40368	Q12315	0.45608727563719165
P25359	Q12460	0.3115991945753942
P27895	Q08581	0.3001039959995214
P40064	Q02630	0.30403682289221334
P32526	P33420	0.2208083416282446
P14127	P22147	0.292201305168045
P39516	Q02753	0.30801890306215
Q01560	Q99383	0.34721298515691695
P40509	P41810	0.30079256034615154
P05740	P49626	0.4561018603908344
P19524	P19658	0.19425742141335628
P38333	P40010	0.4189942172377529
