protein1	protein2	mean_weight
P36873	Q6PJW8	0.2884828256141449
P51398	Q9Y399	0.5143444990352299
Q12962	Q86TJ2	0.4378829377473167
Q13761	Q969H0	0.19591181981750003
P02545	Q9P287	0.09420274958674411
Q01831	Q13315	0.10876571513235765
O75368	Q9NQX4	0.1495148279778489
P19784	P27694	0.11193014638028176
Q10471	Q9H4A6	0.32567765369570184
O95782	P63010	0.525329830222774
P12830	Q6IQ23	0.13410156509887897
O15379	Q9UBW7	0.32956281182377906
P06400	Q13573	0.35365241132237907
P01375	Q9Y6K9	0.3862017354885588
P52735	Q8WZ42	0.1669258827337563
P42229	P45973	0.13088561228782614
O95782	Q15811	0.37759470849800875
Q6NXT1	Q9H7D0	0.2892989608843537
Q8WXX5	Q92905	0.44833950355929736
O76021	P42766	0.1956730104578989
P55072	P62701	0.3161086500943874
P62191	Q06323	0.2217160402859487
P05387	P62277	0.48373210136432976
P54252	Q14204	0.11543249640645596
P67870	Q9UK58	0.29649009391162207
P42858	Q8IUH5	0.10986021703800646
P0CG48	Q96T88	0.37272507713662373
Q00341	Q6P2Q9	0.36029828143116105
P12830	P26232	0.3620343312433308
Q92574	Q92844	0.36511786020406434
P23258	Q9NTK5	0.12646318154595645
O95613	Q14839	0.11312925448559162
Q13148	Q9UKM9	0.34210122428768
O43678	P13073	0.39373028535027266
P62993	Q9NRF2	0.12767075583422463
O43395	Q13435	0.48721530080421216
P25789	P48556	0.30792320957562125
Q8TDI0	Q9UBB5	0.17531256214427113
O00444	O94986	0.4809071013692538
Q99967	Q9UKA1	0.4592747538406783
P62837	Q9Y4L5	0.23569635168650993
Q92830	Q96BN2	0.12459853263928043
P24928	P62487	0.1810936885858397
O00483	Q9UI09	0.26045241625198123
P46087	Q03701	0.17518792394444296
Q02880	Q92769	0.1691663975639347
Q14444	Q14839	0.11530867981701375
O60885	Q93074	0.4130752230493966
P00338	Q6ZMR3	0.4718532231834184
Q13901	Q9Y580	0.19853792597335215
P01106	P30041	0.11176786518665148
O95602	P17480	0.39893506500672
Q969H0	Q9GZY8	0.23352587687779836
P27695	Q16881	0.39130121009052166
O14965	P63173	0.09514642251777379
Q9BR77	Q9Y2I6	0.1410579299443443
P68371	Q13509	0.5132024872721413
Q00987	Q9H2X6	0.15342099624170727
P68371	Q13885	0.5945963894896793
Q92731	Q9NPJ6	0.3339108239841767
P08134	P52565	0.4227519480474748
A7KAX9	Q92529	0.1610192654047436
P05549	P25054	0.17649416045434452
Q58WW2	Q9NWS0	0.4147632544959848
Q9BXW9	Q9Y2M0	0.13878872348465301
Q01826	Q09472	0.15139054703242644
P53680	Q6PD74	0.1530895852747232
P50750	Q7L2J0	0.09503577141398817
P01106	P08195	0.3317705801682686
O60783	P62244	0.1342505159170821
