protein1	protein2	mean_weight
Q02767	Q12483	0.4266425537721255
P38779	Q00776	0.2943892281571903
P10659	P11075	0.07243446961848644
P11747	P46677	0.5249789899831266
P36161	P40013	0.15941507893439338
P24869	Q04149	0.22703345991835694
P04786	Q99383	0.3722008398046667
P40070	Q06217	0.4025371441077883
P32497	Q01159	0.18422381651197703
P07261	Q06485	0.1441019273438544
P25046	P34162	0.2949915934439734
P06777	Q05930	0.2460407237837754
P32902	P36056	0.5262784450182137
P32496	P38737	0.42738682880407675
P53323	Q12250	0.1499341809561748
P07281	P32523	0.34446799562759417
P02309	P36012	0.25699591931253873
P25491	P40024	0.23906376382651626
P32801	P41832	0.31703990816895594
P24583	P25302	0.297593354739624
P47113	Q00684	0.28910281627373385
P32639	Q06217	0.43087457379507643
P34221	P38953	0.1400843018147862
P02294	Q08004	0.28045233944135634
P10862	P53397	0.3664016822813881
Q05636	Q08491	0.2591310470001147
P06778	P32807	0.38239338962528635
P32457	P53939	0.22205320941198414
P16862	P20081	0.24897200062165037
P31385	P50110	0.3270562773140246
P22147	P25644	0.3433682034329445
Q04439	Q04493	0.2246753598915718
P38629	Q12050	0.24818701807066915
P40957	Q02732	0.33304551274771366
P38994	P43601	0.24021366695804294
P20437	P33306	0.3691302957498714
P02557	Q04493	0.2898273711888621
P23594	P32562	0.23319568980504685
P32566	P39960	0.3077563120014944
P24719	P42222	0.31358149563063964
P32383	Q12361	0.22813446747827226
Q03330	Q12447	0.12285852094884102
P14680	Q12123	0.3321156540493491
P32844	P52917	0.5192630039392245
P06100	P13393	0.2781840370525557
P40969	P53298	0.42252177789840306
P13586	P47818	0.5625267274469632
Q06604	Q12271	0.22814040189772605
P20053	P40089	0.13202453434174663
P15705	P47103	0.25685770733744756
P38208	P38291	0.5406340775600473
P25567	Q06340	0.1370774367507389
P15891	Q12446	0.43555592292553064
P38792	Q12277	0.4089424181717045
P25694	Q00816	0.15492656696761323
P38140	P39743	0.20150858724367401
P00546	Q12048	0.21453423608819797
P36161	Q06504	0.21265830517362336
P14127	P53254	0.12207102256224985
P09959	P39678	0.31515729577513274
P18851	P37012	0.3165532910881906
P40050	P53861	0.300110996942651
P14291	P25454	0.3352338599880779
P00815	P06169	0.43163472136611386
P32563	P41806	0.23147478625645324
P07866	P24869	0.3131507447016398
P25441	P36121	0.632358476868482
P40030	P53045	0.548013278037894
P24783	P38922	0.25853923869102213
P23301	P38785	0.17681611610624243
P53978	Q00684	0.39631746057366085
P02309	P15790	0.28029328578500146
P25454	Q05024	0.3197815802212254
P02829	P60010	0.3416918937853376
P04710	P38316	0.2202781727079318
