protein1	protein2	mean_weight
P12709	P32598	0.06232367425532526
P36006	P47068	0.41471467471130385
P23639	P38737	0.14511813203876664
P38286	Q99190	0.5865629193558112
Q05541	Q08204	0.2979115503934897
P30657	Q08723	0.48979683752508674
P20434	P35718	0.25366519997353887
P38286	Q06598	0.35785724798185475
P04911	Q04636	0.40893750460920497
P47079	Q12223	0.30117947214020774
P38129	Q12030	0.5968218663173958
P37838	Q12024	0.35236396036476547
P17121	P47135	0.3460252851308884
P27637	P40187	0.48686510397046523
P19454	P38930	0.2888397219136438
Q02796	Q07457	0.5739493406281867
P31379	P49018	0.3342924764493282
P32468	Q06648	0.22626999233680367
P32569	P41896	0.5152029939436062
P07834	Q12018	0.33158659362510057
Q07878	Q08273	0.17075047629757772
P43321	Q02554	0.4626332940023878
P32468	Q08224	0.0774967996249965
P33299	P89105	0.07887117575899047
P15992	Q00684	0.3722875140718643
P40956	Q03935	0.3555906652129957
P25616	P53290	0.38865666666666665
P18409	P43555	0.2545759176769943
P42843	P53924	0.3256915063086237
P36775	Q03714	0.1856513581778052
P29055	Q12415	0.1300776994374947
P46985	P50108	0.4583298440865417
P32497	Q99247	0.3244244308570706
P40070	Q00764	0.06225969199523558
Q07381	Q99216	0.3907090747258817
P32786	P40992	0.8118595938962198
P06774	P43586	0.07162757777665578
P22137	P38856	0.43105070422602
P16140	P41695	0.13664657226127627
P40319	P49018	0.16341629232552699
P16140	P38011	0.33175645934866305
P38084	Q02774	0.2243903188405797
P23641	P39928	0.1100614052370465
P12385	P40468	0.4730272659166596
P23337	P27472	0.4989938896371118
P20459	Q05791	0.4157494539055209
P46948	Q08491	0.2558909122436204
P24869	P53197	0.2687752853787914
P36126	P53550	0.49284511501845435
P08518	P22696	0.17783901007006142
P47135	P53861	0.31702596865524807
P53104	Q06628	0.5561445225414059
P10080	P25644	0.22982947754688887
P25371	Q06815	0.5353692876228788
P38723	Q01163	0.31394416760225846
P15891	P33338	0.30986637151664576
P36017	P41277	0.17597017811865476
P30822	P53550	0.4027899524308861
P06168	Q00772	0.4509227204249832
P35723	Q08980	0.542692489134641
P09734	P53632	0.11965316666666664
P00546	P25491	0.356249907685061
P53735	Q03455	0.7317357904638631
P22696	P40069	0.5067301051131615
Q06709	Q12326	0.5061374444444445
P12709	Q03497	0.3279914024705321
P38784	P39111	0.24841192248661306
P32793	P36125	0.3739448709404788
P40956	P53309	0.6235058402636772
P34160	Q00416	0.21304019890212286
P54999	Q08963	0.242098973538873
P19145	P38264	0.19971986624776916
P36421	Q02608	0.4134224196415197
P21771	P25694	0.0681050116742014
P32602	Q08650	0.08248133700986916
P26343	P35169	0.13707753545633541
P17065	P40466	0.42659408611966737
P29952	P39743	0.39185002687915826
P19882	P33298	0.20334263511497164
P29055	Q12285	0.21171888300841896
Q02685	Q12176	0.3845964003335696
P40155	Q08215	0.3127885045660387
P00447	P06838	0.1286197836487032
Q06325	Q12118	0.17450133333333334
P43639	Q00245	0.3162806736979266
P33296	P39719	0.2643093161855452
P07260	P38199	0.22165748530701576
P25644	P40089	0.39622617319269715
P06774	P16387	0.08168988200138956
Q05568	Q07418	0.3275522399149465
P40054	Q08651	0.43975361698190113
P00546	P23748	0.12268069627994127
P17157	P43565	0.32249032899422214
P25694	Q06682	0.14999065482596072
P38074	Q04659	0.15372657690254354
P34160	P39935	0.3994860598709569
P38723	P47154	0.33413857223204063
Q01939	Q04437	0.38640081994949155
P53254	P53861	0.3295823490592553
P32324	Q02821	0.10538931291148647
P08518	P22139	0.19157021464351884
P07283	P32468	0.17923104486493763
P39969	P40073	0.5127700484106438
P25635	P53941	0.3025307666431362
P33759	P39935	0.31436318767090143
P24719	P38764	0.4395250299099584
P00924	Q06704	0.10191959776970407
P40024	P47135	0.4209917996249965
P15646	Q08096	0.45048014735526815
P32074	P39743	0.5138726300786641
P36048	Q12309	0.4324678723084052
P47090	Q02774	0.17181161844310813
P48363	P52553	0.6386464438322808
P14724	Q12473	0.3971898303264442
P38703	P38723	0.11066129230432649
P27929	P28817	0.6051529719301345
P22141	P25451	0.36846007581070866
P39925	P40341	0.6668924088504159
P35723	P53142	0.12094297217110954
P38079	Q12320	0.5207024139708081
P06786	P35187	0.5160023897471612
P07260	P51862	0.23382119849998595
P39517	Q04437	0.12988924548966635
P46961	Q12006	0.18037680561860434
Q01852	Q12229	0.12202341905078244
P07257	P28320	0.05144514388186505
P32469	P47135	0.1474378476483184
P36516	P38064	0.3905772881640252
P32598	P38779	0.07399170481383248
Q01329	Q08553	0.2452760341726182
P12868	Q03308	0.4929712737227458
P06701	P22146	0.1797623636190696
P32529	P46669	0.5592025025414427
P15873	P32582	0.45404028777740674
P12612	Q00362	0.09267693227149083
P38264	Q08986	0.4278582094367818
P13393	P32333	0.44324727173233275
P22137	P38882	0.37259409752375144
P40055	Q06078	0.4038407346004393
P40045	Q04659	0.10577622243679025
P11484	P38885	0.0675324943945537
P04051	P36121	0.6087373375891222
P32911	P34730	0.44197816947777424
P42846	Q06436	0.16840757261596576
P15108	Q02821	0.3254074264754065
P25577	P36108	0.1353175448649376
P16474	P23642	0.13806153630798285
P14832	P26188	0.3026499109425701
P33331	P49687	0.4130858875556328
P04806	P23624	0.38722098050140313
P04385	P15891	0.3540741254647235
P13393	P32773	0.4167737051928879
P07806	P33322	0.19520828152592118
P38753	Q03935	0.417680376732586
P32911	P39936	0.31395584606102195
P33204	P47117	0.26666626848944935
P06778	Q12306	0.44250989752857955
P04786	Q02208	0.38976416892273
P04051	P32910	0.41780886757845087
P22133	Q12154	0.4446316075267915
P39953	Q05934	0.1143942836487032
P30822	Q08273	0.22611157690254355
P22147	P38328	0.09091756509887895
P33334	P43321	0.2678313309547525
P04385	P12962	0.3290414297693929
P22139	P47076	0.25062470548978977
P38211	Q12020	0.11507609924999296
P36018	P53093	0.35214746737213404
P12709	P53036	0.3504772314046105
P53861	Q12754	0.46097053433404245
P38631	P40075	0.5919956832954253
P38903	P53958	0.13996519418287437
P00360	Q05583	0.085785599249993
P38348	P40956	0.44458118768394744
P04050	P19659	0.10840902762434436
P35182	Q12163	0.477537795300931
P25648	Q08278	0.18985811257426816
P15703	P53541	0.281009791400159
P39704	Q03862	0.4703785877885544
P23291	P39010	0.1301519794747609
P39940	P60010	0.3502917513217304
Q07913	Q12749	0.3933948833884841
Q02629	Q06142	0.19449061193815587
P07342	Q12223	0.09727269956032075
P38316	P43588	0.38517277327922067
P00830	Q04377	0.140833296402538
P53886	Q08683	0.37508688788478883
P38112	Q12176	0.3295102419658528
P05626	P53954	0.42439762133592324
P40319	P43555	0.21920543967953157
P05150	P06243	0.09643553582752129
P39704	Q07376	0.1145657967453308
P32591	P40160	0.15564474982232823
P18414	Q06451	0.4027159015631615
P40450	Q00246	0.5469017407407407
P12709	P15873	0.3202718969864767
P38356	P38992	0.15443753657951345
P11484	P20459	0.2947672248498472
P53102	Q02804	0.0977176994374947
P38264	P46961	0.1406491326258825
P06782	P18494	0.5149896169819012
P60010	Q06554	0.42637100435584036
P21691	P54786	0.4196524424048511
P34730	P53043	0.47028316131118225
P06774	Q02794	0.11162822347741837
P39076	P53197	0.3479699089883959
P11986	Q05583	0.41018296100280627
P43601	Q04958	0.4499548467247915
P16861	Q06632	0.11363154678184982
O13329	P06843	0.5195717345892085
P13393	P38129	0.426963576799813
P19882	Q03702	0.1399538331369647
P18851	P38720	0.08014903259125826
Q04149	Q12159	0.30354506994462227
P07703	P11484	0.2993785661101223
P11433	P21268	0.5519447119932708
P08018	P40988	0.47439686438825807
P33297	P33298	0.6297735350272563
P36162	Q06410	0.41593107514037736
P06777	P53177	0.4004923150393321
P20604	Q03957	0.3489202291452788
P09959	Q00772	0.43162928455167787
P32523	P54999	0.314483205615576
P21657	P21705	0.21679850422869507
P38287	P47082	0.510178378198271
P14832	P53685	0.3333042078758033
P15646	P53861	0.08316332247269302
P38286	P49018	0.18181521662963265
P07703	P26637	0.1172055788348712
P40089	P40527	0.27625417566571137
P39998	P40064	0.4608521726163728
P12709	Q00362	0.4453581911948203
P09733	Q06001	0.17490514199397564
Q05637	Q06150	0.49964304486493766
P35194	Q08004	0.45513367069767874
P25376	P40548	0.12478292215814346
P02293	P80428	0.4094982526942707
P15180	P47017	0.1689169608496444
P36160	Q12176	0.6091565546902213
P25358	Q08986	0.19224367158242384
P10659	Q01649	0.4591041694777742
P33419	P38987	0.21887407608639506
P04806	P38615	0.5412280726159658
P05626	P29295	0.05697849445881054
P12962	Q04739	0.5004292374915397
P25349	Q06567	0.4309026345948129
P24719	P25694	0.0725554905668576
P43592	P46671	0.5399662982345398
P29295	P36520	0.28367427638303394
P36018	P38987	0.1490601182523068
P25491	P39014	0.352754966776551
P33748	P34730	0.5421464803830317
P38633	Q06213	0.38028591767699427
P46951	Q07623	0.38363569354582494
P38217	P48837	0.2511805782649964
P30620	P38797	0.22054944487358055
P38089	Q12447	0.35051501923310846
P00546	Q02606	0.32632258645077483
Q03433	Q12509	0.47104527980665123
P32368	P40548	0.3639378498214979
P47083	P53941	0.4987771401350906
P06779	Q03071	0.43416361446471696
P11484	P39984	0.39558744921610617
P06169	P39925	0.15986760050035448
P13393	P38304	0.3773868214180287
P46956	P53622	0.1989313806913631
P33767	Q12251	0.18758962095621215
P09734	P38316	0.07194079042974018
P47113	Q00684	0.40289529917184264
P46961	P49018	0.15404708193776254
P00924	Q04477	0.055108937288987934
P23968	Q02774	0.1282187745301768
P21372	P38956	0.3091090000000001
P07703	P07806	0.10463405555555555
P07251	P38203	0.07622177404745122
P27614	P32527	0.14053762766947295
P19882	P34252	0.3529382117034549
P25379	Q12347	0.12016131047810605
P38633	Q08278	0.3375520228159054
P32791	Q04370	0.25163523458920845
P37370	Q05080	0.4225035293048938
P16474	P53632	0.408709
P25302	Q00772	0.18015533766304961
P52553	Q04493	0.5963911186574555
P32502	P43592	0.35635784609358145
P38337	Q03323	0.3163411699471805
P16474	P40856	0.2952333014115087
P38723	P38842	0.1818806902664242
P04051	P14540	0.3233581124833653
P38210	Q03406	0.13658667811865477
P10622	P32800	0.12119904645876385
P53196	Q12464	0.36846318926986144
P19524	P33892	0.3028957174827036
P32569	P43610	0.4702012012871353
P38080	P39944	0.4417838888888889
P38353	P40548	0.16698445068245626
P02829	P26755	0.06185669487611558
P25375	P33754	0.11251805555555555
P04397	Q08273	0.4530005781964028
P38633	P47119	0.42742674550153786
P15790	P32787	0.09778594826799837
P40071	P40073	0.12547804645876387
P25358	P46961	0.41379973291497424
P05626	P33296	0.33422169295626886
P38878	Q12402	0.2515573525254036
Q04418	Q08270	0.4624386299157204
Q08193	Q12164	0.36441490271759513
P05150	P22204	0.4399863241642161
P06774	P80428	0.11358244150420944
P17214	P18239	0.3946206438887034
P16861	P38882	0.04467674489729201
P06787	Q04439	0.2533502124706514
P23291	P38013	0.23336254905630727
P25297	P46956	0.18367351227422637
P00950	P06787	0.3218548681063078
P12954	P19882	0.2972733868127273
P32803	P38085	0.19979838298071081
P16862	Q07350	0.32750222377787547
P09734	P20604	0.3111390786358102
P06774	Q12024	0.32800131050829046
P53256	Q05636	0.6585009191279279
P38890	P53968	0.48132640257427056
P32902	P38175	0.6049899327622494
P38723	Q02774	0.3261516085288557
P33767	P40548	0.18273610883057803
P38264	P39540	0.17421019788083425
P32562	P53197	0.41183423125744856
P21672	Q04964	0.42718120905322926
P40018	P47093	0.4705126104599404
P17123	Q06525	0.5003881428571428
P23642	P33767	0.6296949006307399
P16151	P25358	0.14956774687014096
P06780	Q99299	0.4013007951334928
P36033	P48813	0.48090850355929726
P12753	P14680	0.19178778421462736
P19073	Q06648	0.2610883221657392
P38958	P40955	0.09219338174397715
P40554	Q12460	0.1943168339013531
P33767	P39007	0.5879313044768916
P12709	P38319	0.1108906410526503
P43621	P53622	0.4425166818378821
P29055	P43560	0.4127691187457698
P19882	Q12018	0.0916773449867974
P01123	P53271	0.4342999466043407
P49704	Q02260	0.18310688935322744
P35734	Q12248	0.6452053229990627
P25694	P32628	0.2506303786145095
Q03516	Q04675	0.15738439887498945
P22139	Q04418	0.5512811534315474
P38191	P38748	0.5729340897298753
P20484	P22147	0.10115535761596726
P33307	Q02821	0.30200116259647025
P25359	P38633	0.12453527796711769
P33775	P38695	0.0865074725589981
Q07418	Q12462	0.7575085937288492
P34160	Q03776	0.23519307130160724
P06168	P20604	0.33371266704283314
Q00764	Q04437	0.4063280303030303
P34730	Q06208	0.178728944603807
P18759	P38316	0.5678172446087273
P22204	P31384	0.08484884882583704
P27636	P34730	0.13613659061269015
P38633	Q03935	0.3825780947146982
P06243	P28000	0.04377467324392405
P47821	P53114	0.34313564412238323
P22213	P36015	0.5267085162232141
P20081	Q06834	0.098956861105033
P22141	Q01939	0.24553501861652982
P04806	Q00772	0.45081886811868505
P06782	Q04279	0.17044039887498946
P00830	P38629	0.3343990678715787
P20437	P24814	0.27922424521383266
P32892	P53927	0.4988398061040927
P32524	Q07350	0.3412866496734434
P00924	Q00362	0.3697038147213839
P32830	Q12328	0.42093837037037035
P38251	P40339	0.36405136351981604
P06634	Q08601	0.47749563007866413
P36108	P52917	0.6413861019668521
P46676	P53685	0.1675016361930303
P20604	P34756	0.1687637494423685
P38286	P43555	0.15358091672108312
P25299	Q08685	0.3624771191843905
P04817	P53176	0.2043784460327462
P40413	P53904	0.4810312659166596
P40066	Q02821	0.4678968327719797
P02294	P21951	0.3383836532352018
P51998	P53875	0.857988
P06782	P07149	0.5361167115316042
P32608	P34730	0.23638897936948627
P06773	Q02866	0.1189380788348712
P11938	Q12306	0.578408852150312
P38729	P43561	0.19155425972708776
