protein1	protein2	mean_weight
Q08999	Q14186	0.3296236672204553
Q13501	Q14457	0.3425013085560291
Q9BZW4	Q9NST1	0.4054465184868974
P42568	P84243	0.12790583248609622
O95398	P53778	0.24836972328813578
Q14204	Q9Y6G9	0.24357324022442525
P00395	P03915	0.26047249008148954
P33991	Q9NXL9	0.36204739968328853
P42338	Q12933	0.21217090338365485
P62899	Q8NE71	0.2502997833507151
O94829	Q9Y5S9	0.23620292789183148
Q07817	Q9C000	0.1503043295442883
P06756	P16144	0.37487883214590884
Q8NDX2	Q9HC10	0.4030171011465878
O76021	Q5C9Z4	0.2468409125524251
P01106	P46531	0.29785860169462014
O95602	P46781	0.2543760678245046
Q53H12	Q6ZWT7	0.23587668038684553
P08865	P61619	0.15379449565513265
P62736	P63267	0.38865827179046697
P24385	Q96S94	0.38100796109724616
P09936	P37840	0.3283052742654988
Q96E11	Q9Y3D3	0.3000808118193127
O15269	O15270	0.6124133515061393
Q13123	Q9Y333	0.24977763660761185
Q14692	Q9NQZ2	0.46930565375295885
P60953	P63261	0.2318647434561538
P0DML2	P0DML3	0.5975147347350264
Q96I59	Q9BW92	0.37762704331650143
Q13042	Q14999	0.2674267873108107
O43447	Q9Y4Y9	0.3413859545537451
P16520	Q00722	0.29736598415705456
Q9HA77	Q9P2J5	0.17984777852117148
P08069	Q5JWF2	0.16233254905136696
H3BNC9	P04233	0.009505286073940349
O60493	O75436	0.39654824733154626
Q01844	Q13148	0.3369820035624386
P05091	P07311	0.32358283881237515
O14791	P00739	0.2677956464854596
P02686	Q16653	0.2886531068988506
Q9HCG7	Q9NR71	0.17782515381476724
P41567	P55010	0.38274714592496833
P42224	Q9Y6X2	0.2568770112739778
Q15649	Q9NWS0	0.28384613961757277
P17612	P48058	0.20933041953769882
P62805	Q15059	0.13880767156072604
P62987	Q9BYD3	0.23909098271904383
P35498	Q8NEY1	0.4419546940353027
P04626	Q92529	0.2657789991664926
O15394	P04156	0.0879954950844221
P61978	Q15393	0.20831617613269093
Q6PUV4	Q7Z7G2	0.3646470904013302
P16070	Q3B8N2	0.1927325394174356
P46527	Q92466	0.25039517168318454
O95931	Q6NXT2	0.14759956696576934
Q92901	Q9P0J6	0.24319292029877165
P23368	Q6ZMR3	0.19905452205335236
P08581	P12830	0.3960608175345527
P60510	Q16204	0.19667990044886632
O43181	O43678	0.48020424872967066
P0DP23	Q13061	0.14142393573273424
P53990	Q96FZ7	0.3273656345484964
P05388	Q9HB96	0.24136704446771562
P04233	P62241	0.13485994273126709
P05388	Q9Y3U8	0.3624682606655666
Q16795	Q96KJ9	0.27910547741631136
P12931	P16144	0.25210630513677446
Q05397	Q92569	0.1846788684454782
P28482	Q92934	0.1961665727154632
Q15648	Q96A35	0.2450294357584061
Q92769	Q99496	0.1810268181776634
P51610	Q03164	0.29465640441440916
P62314	Q9Y3B4	0.30859667098192023
P82675	P84098	0.2591708891734884
O75251	Q86YC2	0.13014725617265002
A8MTJ3	Q9NYW7	0.2074320811581694
Q92800	Q9HC52	0.3655904265987579
O15263	P60022	0.49859387958858903
O75390	Q96I99	0.33786035173834184
O95602	Q9GZS1	0.3157403910028343
P63104	Q9P0N9	0.10200561063450524
P04843	Q8TCJ2	0.3223236526051044
P49411	Q4U2R6	0.16849803893702786
P19525	Q9Y4K3	0.34622930034221894
P47755	Q13561	0.327699959007309
P30307	Q495Y8	0.0810567026410224
Q96IF1	Q9UGP4	0.4533205717851386
P63272	Q8IXH7	0.27067029545720805
Q9H6L4	Q9UQ35	0.29718088005911486
P52798	P54762	0.34353574069481113
P51114	Q14444	0.28827787643900815
Q8IWJ2	Q8N2M8	0.3562437660993356
P49257	P53992	0.31476181873545633
P62861	Q03721	0.19032071141935747
Q2NL82	Q9H7B2	0.3704859287254341
P17252	Q8N3E9	0.20406084810273842
P28066	Q9NRR5	0.3397149639616234
Q14197	Q9Y3D3	0.28733623523068735
O43174	P47895	0.26854132628376415
P12830	P33151	0.3606545279985471
P14927	P99999	0.26384372976575177
P40938	Q9UQ84	0.3164243862628098
O43294	P10275	0.21644755879428682
Q9NP79	Q9NZZ3	0.3704552451810795
P07910	P11940	0.31816097251081377
P36954	Q96JC9	0.19106553456280434
Q9NRZ5	Q9NRZ7	0.447210307679498
Q8NFH3	Q8TEM1	0.41115947278348514
Q14152	Q99613	0.2915808140457727
P57772	P62424	0.23474597341540185
P62136	Q13625	0.2763654654832848
P46781	Q15648	0.20720095815758233
Q9NPL8	Q9UDW1	0.3888087370460181
P05114	P49207	0.06905360263326887
O14561	Q8N183	0.32515208888466
P53350	Q7Z5Q1	0.22027069271726876
Q8TDD1	Q9GZR7	0.40415999141846864
O15239	Q9UDW1	0.290303264423365
O15111	P31749	0.2843697659208573
Q13616	Q969U6	0.22632576514108504
Q15003	Q9BPX3	0.5186822238892564
Q15061	Q9Y3B2	0.3134494355614716
O15254	Q9BV79	0.28865307900697185
P62701	P62891	0.26625391252222813
P62861	Q9ULS6	0.3265351872180024
P62861	P82912	0.2978474450300725
O14879	P09914	0.47319145251626754
Q6P4R8	Q9Y230	0.3091832644633564
P16152	Q86XF0	0.18528465829640262
P36578	P57772	0.17271983603520125
P14678	Q07955	0.17626975706876744
Q01581	Q9UBM7	0.37000078857823543
P40937	Q9BVC3	0.3439997347136795
O15379	Q16576	0.29848438014686307
Q06787	Q9BZB8	0.2523987808534455
P82912	Q9Y3D9	0.5025048728772192
P46778	Q9H009	0.081340296843828
Q96BZ4	Q9BVG9	0.21811214197194817
P82664	Q9Y2Q9	0.49137394491895026
