protein1	protein2	mean_weight
P47075	Q02979	0.098541721862309
P33201	Q08004	0.3995354526291471
P17536	P40414	0.39842032173587727
P00549	P32891	0.38824323867161303
O13329	P47035	0.45016545055945306
P32771	P46367	0.44635368275559323
P25642	P36527	0.36488807694910674
P36044	P38069	0.5541965380671741
P53939	Q08229	0.3629036072737885
P06738	P40036	0.20400499024532395
P06244	P60010	0.4200538522773069
P04147	P32605	0.0843955066287134
P36009	P45818	0.5364550119857142
P15179	P25348	0.10495438352421144
P05319	P32611	0.26511195756868405
P18496	P30902	0.4435557502006148
P52488	Q12216	0.4824151725449908
P38341	P50087	0.6587058124845713
P18480	P25632	0.14760676719576718
P14682	P53152	0.24076357412415395
P20967	Q06001	0.3356660051249722
P00937	P06208	0.2653126240623757
P36144	Q12220	0.3737863081629058
P26321	P33442	0.23019493420926004
Q06217	Q99177	0.3828041791582199
P32559	P53875	0.1459957051513702
P22147	P53550	0.5294072108140284
P47064	Q12028	0.27137560507436265
P39875	P40348	0.49987348599748155
P32561	P38827	0.44138080840304933
P16474	P48353	0.42399219108870356
P20459	Q08745	0.3194689200649806
P20084	P26783	0.1071442318873961
P40339	Q12050	0.45330147281166316
P05737	Q08972	0.3165824649694678
P05317	P16370	0.3168450898579015
P14682	P52286	0.513585020788199
P40693	Q03305	0.09767343461629639
P06778	P26755	0.5122825873865897
P33759	P36521	0.34043358240525523
P04786	Q04149	0.18562105518867736
P40335	Q06696	0.37502146052873014
P32610	P32842	0.2798189054118162
P15705	P31539	0.2096651413289613
P25588	P47110	0.28725092447649087
P37012	P43545	0.12532847157905155
Q03305	Q08961	0.46480393004222703
P35207	P36105	0.33985179228062246
P32495	P51401	0.10222700147145815
P53063	Q07845	0.42022586686614205
P24869	P47035	0.4595248550420168
P28274	P41805	0.09253685904795338
P32447	Q12050	0.4452671022622101
P32902	Q06678	0.5171267383486139
P38886	Q08723	0.44990956049991493
P28795	P53112	0.4583117584101603
P25443	P53276	0.4229586729408952
P32578	P34164	0.5445701581221027
P00445	P06115	0.47352449135581787
P02829	P23287	0.3176056362594586
P07342	P43567	0.34851170604322174
P02994	P0C2H8	0.0609373164318816
P26755	P38859	0.4623261852878934
P33322	Q08444	0.41996217020463106
P38961	Q12247	0.4581716443949121
P33755	P38121	0.3455160043595067
P49626	Q08492	0.11665391655525398
P53313	Q12499	0.33981838716309953
P05739	P0C0X0	0.2591686908968322
P05744	P47150	0.4215881984835024
Q08273	Q99344	0.37574300111795095
P33298	P43593	0.47804392833866866
P05317	P05743	0.39426210721151206
P22141	P25451	0.37270538791980873
P05743	P39015	0.30268920933909643
P00560	P16861	0.2696530012693147
P07703	P33759	0.3020400753919395
P02400	P40992	0.3142580205740898
P48240	P53725	0.2722930872547225
P16521	P46990	0.08986746915493464
P31244	Q12004	0.31052887148476954
P32583	Q04177	0.41526295217738035
P40546	P53256	0.168726116809068
P27882	P53065	0.0648754200919024
P0CX47	P38064	0.385072590959361
P31539	P38788	0.21032398375248187
P00560	P42222	0.0648592857176175
P07560	P32844	0.499011744801585
P25294	Q12118	0.3873653080886342
P0CX39	P38249	0.1190375212120892
P22224	P89102	0.4857203732780873
P38711	Q08444	0.44782363249429424
O13516	Q04305	0.27719766137709395
P0CX39	P49626	0.22381024565505192
P41834	Q01590	0.32851911388384997
P39729	P39935	0.37062070058935254
P20447	Q08746	0.445977138840212
P25443	P32904	0.10549132685198549
P05740	P10964	0.3277936279841149
P06169	P16387	0.42352344814388054
P0CX29	P47047	0.32723867567713943
P40540	Q12025	0.5470243630183665
P48582	Q06696	0.3032621094197728
P20967	P32614	0.4220070114379085
P38205	P53927	0.16212877465798722
P47176	Q02891	0.43818585388196846
P05749	P05755	0.3874401649415961
P40358	P53940	0.17154083680675447
P53742	Q12136	0.47696054298760215
P32611	Q07953	0.08924236899741629
P47077	Q08235	0.5042331782382765
P32785	P38205	0.26060119775506313
P32485	P32917	0.3992137525623841
P12686	P36516	0.6296890939828528
P06786	Q12216	0.21176607506131093
P46669	P50106	0.5410039871461513
P0CX39	P39730	0.1996085170398948
P04650	P0CX86	0.3767657866872302
P07213	P40515	0.2309493857508843
P05749	P41057	0.4796460854135699
P32497	P38431	0.23144312649708054
P36048	P47150	0.09403618553843764
P30822	P49687	0.1885138450940782
P53962	Q12331	0.6680511310833124
P40565	Q02770	0.20699310292048848
P36105	Q12000	0.17859612660803337
P0CX47	P25586	0.2238870416627177
P25039	P28778	0.5046349447834827
P35728	P42073	0.3483201374405993
P39076	Q12017	0.41421630737172155
P26783	Q04177	0.3568607556291501
P05740	P26785	0.518756238524504
P0CX25	P17076	0.5782236046317931
P06780	P23201	0.19778072566029012
P52489	Q12055	0.367182633480564
P07273	P32569	0.2497732849258254
P05626	P53077	0.21122773582524976
O13516	Q07897	0.20297475434281095
P32892	P46990	0.18507282985856618
P40302	Q04062	0.4670563693840712
P35187	P40072	0.3149659684611172
P0CX29	P26784	0.26339557150264054
P32562	P40958	0.19879121475765613
