SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	2482	1524	0.4247	0.8316	0.5622	0.9396	0.5943	0.5256	0.3810	3.0027
2	EWCA	ss_threshold=0.44	2155	1524	0.4410	0.8168	0.5728	0.9213	0.6002	0.5408	0.3964	3.0314
3	EWCA	ss_threshold=0.48	1876	1524	0.4564	0.8007	0.5814	0.9016	0.6045	0.5547	0.4113	3.0535
4	EWCA	ss_threshold=0.52	1627	1524	0.4710	0.7759	0.5862	0.8589	0.6045	0.5651	0.4240	3.0387
5	EWCA	ss_threshold=0.56	1384	1524	0.4826	0.7470	0.5864	0.8130	0.6004	0.5798	0.4407	3.0203
6	EWCA	ss_threshold=0.60	1177	1524	0.4910	0.7200	0.5838	0.7664	0.5945	0.5955	0.4596	2.9999
7	EWCA	ss_threshold=0.64	974	1524	0.5053	0.6851	0.5816	0.6693	0.5884	0.6146	0.4805	2.9344
8	EWCA	ss_threshold=0.68	798	1524	0.5288	0.6423	0.5800	0.6076	0.5828	0.6301	0.4993	2.8999
9	SEDMTG	iteration_1	1759	1524	0.3174	0.7233	0.4411	0.5453	0.4791	0.5551	0.3940	2.4146
10	SEDMTG	iteration_2	1774	1524	0.3164	0.7245	0.4405	0.5440	0.4788	0.5546	0.3930	2.4108
11	SEDMTG	iteration_3	1755	1524	0.3164	0.7238	0.4403	0.5440	0.4786	0.5534	0.3918	2.4081
12	SEDMTG	iteration_4	1772	1524	0.3169	0.7230	0.4407	0.5453	0.4787	0.5553	0.3940	2.4139
13	SEDMTG	iteration_5	1767	1524	0.3163	0.7247	0.4404	0.5466	0.4788	0.5548	0.3932	2.4138
14	SEDMTG	iteration_6	1779	1524	0.3169	0.7235	0.4408	0.5466	0.4789	0.5549	0.3934	2.4146
15	SEDMTG	iteration_7	1769	1524	0.3166	0.7245	0.4406	0.5453	0.4789	0.5537	0.3924	2.4109
16	SEDMTG	iteration_8	1793	1524	0.3153	0.7246	0.4394	0.5427	0.4780	0.5538	0.3922	2.4060
17	MPCC	filter_threshold=0.10	630	1524	0.3800	0.6939	0.4910	0.8917	0.5135	0.4575	0.3257	2.6794
18	MPCC	filter_threshold=0.20	812	1524	0.3538	0.7183	0.4741	0.9094	0.5041	0.4490	0.3100	2.6466
19	MPCC	filter_threshold=0.30	1036	1524	0.3418	0.7338	0.4663	0.9173	0.5008	0.4476	0.3032	2.6353
20	MPCC	filter_threshold=0.40	1233	1524	0.3354	0.7470	0.4630	0.9259	0.5006	0.4510	0.3020	2.6424
21	MPCC	filter_threshold=0.50	1431	1524	0.3340	0.7579	0.4637	0.9291	0.5031	0.4524	0.3002	2.6485
22	MPCC	filter_threshold=0.60	1700	1524	0.3306	0.7700	0.4626	0.9364	0.5046	0.4562	0.3008	2.6606
23	MPCC	filter_threshold=0.70	1990	1524	0.3378	0.7835	0.4721	0.9429	0.5145	0.4615	0.3035	2.6944
24	MPCC	filter_threshold=0.80	2349	1524	0.3556	0.7930	0.4910	0.9482	0.5310	0.4723	0.3104	2.7528
