SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	1349	243	0.2830	0.9075	0.4314	0.9835	0.5067	0.3446	0.2341	2.5004
2	EWCA	ss_threshold=0.44	1212	243	0.2886	0.9017	0.4373	0.9753	0.5101	0.3459	0.2377	2.5064
3	EWCA	ss_threshold=0.48	1063	243	0.2958	0.8860	0.4435	0.9753	0.5120	0.3493	0.2436	2.5236
4	EWCA	ss_threshold=0.52	938	243	0.3057	0.8720	0.4527	0.9547	0.5163	0.3534	0.2505	2.5275
5	EWCA	ss_threshold=0.56	811	243	0.3166	0.8530	0.4618	0.9259	0.5197	0.3566	0.2557	2.5197
6	EWCA	ss_threshold=0.60	701	243	0.3299	0.8175	0.4701	0.8848	0.5193	0.3591	0.2618	2.4951
7	EWCA	ss_threshold=0.64	590	243	0.3463	0.7704	0.4778	0.8354	0.5165	0.3649	0.2715	2.4661
8	EWCA	ss_threshold=0.68	494	243	0.3657	0.7143	0.4837	0.7695	0.5111	0.3753	0.2847	2.4244
9	SEDMTG	iteration_1	1573	243	0.1974	0.8299	0.3189	0.7942	0.4047	0.2700	0.1627	1.9506
10	SEDMTG	iteration_2	1588	243	0.1959	0.8307	0.3171	0.7984	0.4034	0.2718	0.1627	1.9534
11	SEDMTG	iteration_3	1583	243	0.1983	0.8299	0.3202	0.7984	0.4057	0.2770	0.1674	1.9686
12	SEDMTG	iteration_4	1567	243	0.1946	0.8307	0.3153	0.7984	0.4021	0.2692	0.1606	1.9456
13	SEDMTG	iteration_5	1572	243	0.1963	0.8332	0.3177	0.7984	0.4044	0.2717	0.1641	1.9562
14	SEDMTG	iteration_6	1570	243	0.1964	0.8282	0.3175	0.7901	0.4033	0.2692	0.1617	1.9419
15	SEDMTG	iteration_7	1571	243	0.1958	0.8291	0.3168	0.7942	0.4029	0.2693	0.1618	1.9452
16	SEDMTG	iteration_8	1575	243	0.1973	0.8332	0.3190	0.7984	0.4054	0.2720	0.1642	1.9589
17	MPCC	filter_threshold=0.10	259	243	0.2698	0.7597	0.3982	0.8930	0.4527	0.3104	0.2248	2.2791
18	MPCC	filter_threshold=0.20	300	243	0.2620	0.7721	0.3912	0.9053	0.4498	0.3092	0.2182	2.2738
19	MPCC	filter_threshold=0.30	350	243	0.2591	0.7878	0.3900	0.9218	0.4518	0.3125	0.2174	2.2934
20	MPCC	filter_threshold=0.40	408	243	0.2650	0.8142	0.3999	0.9465	0.4645	0.3245	0.2222	2.3577
21	MPCC	filter_threshold=0.50	466	243	0.2709	0.8373	0.4094	0.9588	0.4763	0.3327	0.2265	2.4038
22	MPCC	filter_threshold=0.60	542	243	0.2612	0.8415	0.3987	0.9547	0.4688	0.3296	0.2211	2.3729
23	MPCC	filter_threshold=0.70	635	243	0.2672	0.8571	0.4074	0.9712	0.4786	0.3383	0.2252	2.4206
24	MPCC	filter_threshold=0.80	748	243	0.2756	0.8637	0.4179	0.9712	0.4879	0.3556	0.2376	2.4701
