SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	987	195	0.2373	0.8553	0.3715	0.9846	0.4505	0.3210	0.2321	2.3597
2	EWCA	ss_threshold=0.44	878	195	0.2497	0.8465	0.3857	0.9744	0.4598	0.3269	0.2396	2.3863
3	EWCA	ss_threshold=0.48	772	195	0.2584	0.8355	0.3948	0.9538	0.4647	0.3329	0.2475	2.3937
4	EWCA	ss_threshold=0.52	676	195	0.2705	0.7961	0.4038	0.9128	0.4640	0.3328	0.2478	2.3613
5	EWCA	ss_threshold=0.56	571	195	0.2901	0.7796	0.4228	0.8821	0.4756	0.3480	0.2639	2.3923
6	EWCA	ss_threshold=0.60	488	195	0.3045	0.7544	0.4339	0.8564	0.4793	0.3582	0.2758	2.4037
7	EWCA	ss_threshold=0.64	418	195	0.3233	0.7401	0.4500	0.8513	0.4892	0.3708	0.2879	2.4491
8	EWCA	ss_threshold=0.68	348	195	0.3516	0.6612	0.4591	0.7436	0.4822	0.3853	0.3024	2.3725
9	SEDMTG	iteration_1	4348	195	0.0959	0.8443	0.1723	0.7436	0.2846	0.2825	0.1790	1.6620
10	SEDMTG	iteration_2	4346	195	0.0953	0.8465	0.1713	0.7436	0.2840	0.2819	0.1787	1.6595
11	SEDMTG	iteration_3	4338	195	0.0960	0.8465	0.1725	0.7436	0.2851	0.2832	0.1796	1.6640
12	SEDMTG	iteration_4	4331	195	0.0963	0.8421	0.1728	0.7385	0.2847	0.2841	0.1801	1.6601
13	SEDMTG	iteration_5	4337	195	0.0950	0.8454	0.1707	0.7436	0.2833	0.2817	0.1781	1.6575
14	SEDMTG	iteration_6	4344	195	0.0955	0.8465	0.1716	0.7436	0.2843	0.2819	0.1787	1.6601
15	SEDMTG	iteration_7	4308	195	0.0949	0.8454	0.1707	0.7436	0.2833	0.2815	0.1781	1.6572
16	SEDMTG	iteration_8	4321	195	0.0955	0.8443	0.1716	0.7436	0.2840	0.2821	0.1785	1.6598
17	MPCC	filter_threshold=0.10	232	195	0.2713	0.7697	0.4011	0.9179	0.4569	0.3445	0.2569	2.3774
18	MPCC	filter_threshold=0.20	260	195	0.2494	0.7796	0.3779	0.9128	0.4410	0.3259	0.2387	2.2963
19	MPCC	filter_threshold=0.30	299	195	0.2538	0.7993	0.3852	0.9282	0.4504	0.3279	0.2354	2.3272
20	MPCC	filter_threshold=0.40	345	195	0.2422	0.8092	0.3729	0.9385	0.4427	0.3322	0.2351	2.3214
21	MPCC	filter_threshold=0.50	393	195	0.2331	0.8158	0.3626	0.9487	0.4361	0.3298	0.2300	2.3072
22	MPCC	filter_threshold=0.60	448	195	0.2328	0.8235	0.3630	0.9538	0.4378	0.3326	0.2294	2.3166
23	MPCC	filter_threshold=0.70	506	195	0.2234	0.8344	0.3525	0.9538	0.4318	0.3283	0.2255	2.2919
24	MPCC	filter_threshold=0.80	572	195	0.2157	0.8377	0.3431	0.9538	0.4251	0.3257	0.2224	2.2701
