SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	5611	1477	0.2593	0.9169	0.4042	0.9878	0.4876	0.3551	0.2167	2.4513
2	EWCA	ss_threshold=0.44	5322	1477	0.2677	0.9139	0.4141	0.9831	0.4946	0.3565	0.2200	2.4683
3	EWCA	ss_threshold=0.48	5022	1477	0.2754	0.9091	0.4227	0.9756	0.5003	0.3573	0.2221	2.4780
4	EWCA	ss_threshold=0.52	4717	1477	0.2819	0.9057	0.4300	0.9756	0.5053	0.3590	0.2248	2.4948
5	EWCA	ss_threshold=0.56	4372	1477	0.2894	0.9045	0.4385	0.9743	0.5116	0.3626	0.2297	2.5167
6	EWCA	ss_threshold=0.60	4007	1477	0.2946	0.8978	0.4436	0.9675	0.5143	0.3663	0.2330	2.5247
7	EWCA	ss_threshold=0.64	3641	1477	0.2961	0.8901	0.4444	0.9567	0.5134	0.3669	0.2349	2.5163
8	EWCA	ss_threshold=0.68	3292	1477	0.2996	0.8901	0.4484	0.9438	0.5164	0.3713	0.2386	2.5185
9	SEDMTG	iteration_1	5536	1477	0.2468	0.7628	0.3730	0.6865	0.4339	0.3232	0.2111	2.0277
10	SEDMTG	iteration_2	5533	1477	0.2469	0.7628	0.3730	0.6865	0.4339	0.3230	0.2111	2.0275
11	SEDMTG	iteration_3	5532	1477	0.2468	0.7642	0.3732	0.6906	0.4343	0.3233	0.2112	2.0326
12	SEDMTG	iteration_4	5522	1477	0.2470	0.7631	0.3731	0.6886	0.4341	0.3227	0.2108	2.0293
13	SEDMTG	iteration_5	5519	1477	0.2477	0.7644	0.3742	0.6906	0.4351	0.3232	0.2112	2.0343
14	SEDMTG	iteration_6	5537	1477	0.2469	0.7645	0.3733	0.6906	0.4345	0.3232	0.2111	2.0327
15	SEDMTG	iteration_7	5531	1477	0.2471	0.7645	0.3735	0.6906	0.4347	0.3234	0.2114	2.0336
16	SEDMTG	iteration_8	5532	1477	0.2470	0.7641	0.3733	0.6906	0.4344	0.3227	0.2108	2.0318
17	MPCC	filter_threshold=0.10	847	1477	0.2530	0.7933	0.3837	0.8876	0.4480	0.2947	0.2011	2.2151
18	MPCC	filter_threshold=0.20	938	1477	0.2515	0.8017	0.3828	0.9140	0.4490	0.3003	0.2021	2.2482
19	MPCC	filter_threshold=0.30	1081	1477	0.2520	0.8207	0.3856	0.9282	0.4548	0.3096	0.2065	2.2847
20	MPCC	filter_threshold=0.40	1189	1477	0.2498	0.8283	0.3839	0.9350	0.4549	0.3134	0.2084	2.2955
21	MPCC	filter_threshold=0.50	1314	1477	0.2449	0.8367	0.3789	0.9445	0.4526	0.3149	0.2072	2.2980
22	MPCC	filter_threshold=0.60	1497	1477	0.2380	0.8425	0.3711	0.9458	0.4478	0.3170	0.2057	2.2873
23	MPCC	filter_threshold=0.70	1710	1477	0.2322	0.8502	0.3648	0.9513	0.4443	0.3180	0.2033	2.2817
24	MPCC	filter_threshold=0.80	2004	1477	0.2311	0.8571	0.3640	0.9513	0.4450	0.3234	0.2040	2.2877
