SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	2444	302	0.1764	0.9812	0.2991	1.0000	0.4161	0.3004	0.1830	2.1986
2	EWCA	ss_threshold=0.44	2364	302	0.1811	0.9819	0.3058	1.0000	0.4217	0.3004	0.1850	2.2130
3	EWCA	ss_threshold=0.48	2259	302	0.1831	0.9793	0.3086	0.9967	0.4235	0.2985	0.1851	2.2123
4	EWCA	ss_threshold=0.52	2130	302	0.1847	0.9786	0.3107	0.9967	0.4251	0.2971	0.1856	2.2152
5	EWCA	ss_threshold=0.56	2030	302	0.1901	0.9806	0.3184	0.9967	0.4317	0.2990	0.1886	2.2344
6	EWCA	ss_threshold=0.60	1887	302	0.1941	0.9806	0.3241	0.9967	0.4363	0.3010	0.1924	2.2504
7	EWCA	ss_threshold=0.64	1737	302	0.2009	0.9767	0.3333	0.9967	0.4430	0.3042	0.1962	2.2734
8	EWCA	ss_threshold=0.68	1589	302	0.1985	0.9735	0.3298	0.9967	0.4396	0.3103	0.2021	2.2785
9	SEDMTG	iteration_1	1330	302	0.1926	0.7456	0.3061	0.6457	0.3789	0.2236	0.1553	1.7095
10	SEDMTG	iteration_2	1326	302	0.1932	0.7502	0.3073	0.6523	0.3807	0.2238	0.1558	1.7200
11	SEDMTG	iteration_3	1324	302	0.1924	0.7456	0.3058	0.6424	0.3787	0.2212	0.1543	1.7024
12	SEDMTG	iteration_4	1325	302	0.1921	0.7786	0.3081	0.6887	0.3867	0.2234	0.1554	1.7624
13	SEDMTG	iteration_5	1322	302	0.1917	0.7469	0.3052	0.6490	0.3784	0.2227	0.1550	1.7103
14	SEDMTG	iteration_6	1328	302	0.1932	0.7508	0.3074	0.6556	0.3809	0.2241	0.1557	1.7236
15	SEDMTG	iteration_7	1332	302	0.1937	0.7495	0.3078	0.6490	0.3810	0.2225	0.1545	1.7149
16	SEDMTG	iteration_8	1333	302	0.1934	0.7463	0.3072	0.6457	0.3799	0.2224	0.1548	1.7099
17	MPCC	filter_threshold=0.10	325	302	0.2281	0.8673	0.3612	0.8841	0.4448	0.2638	0.1966	2.1505
18	MPCC	filter_threshold=0.20	355	302	0.2253	0.8822	0.3590	0.8907	0.4458	0.2584	0.1909	2.1448
19	MPCC	filter_threshold=0.30	380	302	0.2227	0.8951	0.3567	0.9040	0.4465	0.2563	0.1868	2.1503
20	MPCC	filter_threshold=0.40	401	302	0.2190	0.8945	0.3518	0.9040	0.4426	0.2547	0.1845	2.1376
21	MPCC	filter_threshold=0.50	427	302	0.2143	0.8964	0.3459	0.9139	0.4383	0.2526	0.1814	2.1321
22	MPCC	filter_threshold=0.60	478	302	0.2126	0.9068	0.3444	0.9238	0.4391	0.2568	0.1808	2.1449
23	MPCC	filter_threshold=0.70	542	302	0.2203	0.9165	0.3552	0.9338	0.4494	0.2704	0.1889	2.1977
24	MPCC	filter_threshold=0.80	622	302	0.2216	0.9249	0.3575	0.9404	0.4527	0.2833	0.1952	2.2292
