SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	1349	246	0.2830	0.9074	0.4314	0.9837	0.5067	0.3446	0.2341	1.9939
2	EWCA	ss_threshold=0.44	1212	246	0.2886	0.9016	0.4372	0.9756	0.5101	0.3459	0.2377	1.9965
3	EWCA	ss_threshold=0.48	1063	246	0.2958	0.8861	0.4435	0.9756	0.5120	0.3493	0.2436	2.0120
4	EWCA	ss_threshold=0.52	938	246	0.3057	0.8721	0.4527	0.9553	0.5163	0.3534	0.2505	2.0118
5	EWCA	ss_threshold=0.56	811	246	0.3166	0.8475	0.4610	0.9146	0.5180	0.3566	0.2557	1.9879
6	EWCA	ss_threshold=0.60	701	246	0.3299	0.8123	0.4692	0.8740	0.5177	0.3591	0.2618	1.9642
7	EWCA	ss_threshold=0.64	590	246	0.3463	0.7656	0.4769	0.8252	0.5149	0.3649	0.2715	1.9384
8	EWCA	ss_threshold=0.68	494	246	0.3657	0.7098	0.4827	0.7602	0.5095	0.3753	0.2847	1.9029
9	SEDMTG	iteration_1	1573	246	0.1974	0.8303	0.3190	0.7927	0.4048	0.2700	0.1627	1.5443
10	SEDMTG	iteration_2	1588	246	0.1959	0.8311	0.3171	0.7967	0.4035	0.2718	0.1627	1.5484
11	SEDMTG	iteration_3	1583	246	0.1983	0.8303	0.3202	0.7967	0.4058	0.2770	0.1674	1.5613
12	SEDMTG	iteration_4	1567	246	0.1946	0.8311	0.3153	0.7967	0.4022	0.2692	0.1606	1.5419
13	SEDMTG	iteration_5	1572	246	0.1963	0.8336	0.3177	0.7967	0.4045	0.2717	0.1641	1.5502
14	SEDMTG	iteration_6	1570	246	0.1964	0.8287	0.3175	0.7886	0.4034	0.2692	0.1617	1.5371
15	SEDMTG	iteration_7	1571	246	0.1958	0.8295	0.3169	0.7927	0.4030	0.2693	0.1618	1.5407
16	SEDMTG	iteration_8	1575	246	0.1973	0.8336	0.3190	0.7967	0.4055	0.2720	0.1642	1.5520
17	MPCC	filter_threshold=0.10	259	246	0.2698	0.7590	0.3981	0.8902	0.4525	0.3104	0.2248	1.8235
18	MPCC	filter_threshold=0.20	300	246	0.2620	0.7713	0.3911	0.9024	0.4495	0.3092	0.2182	1.8210
19	MPCC	filter_threshold=0.30	350	246	0.2591	0.7869	0.3899	0.9187	0.4515	0.3125	0.2174	1.8384
20	MPCC	filter_threshold=0.40	408	246	0.2650	0.8148	0.4000	0.9472	0.4647	0.3245	0.2222	1.8939
21	MPCC	filter_threshold=0.50	466	246	0.2709	0.8377	0.4095	0.9593	0.4764	0.3327	0.2265	1.9280
22	MPCC	filter_threshold=0.60	542	246	0.2612	0.8418	0.3987	0.9553	0.4689	0.3296	0.2211	1.9047
23	MPCC	filter_threshold=0.70	635	246	0.2672	0.8574	0.4074	0.9715	0.4786	0.3383	0.2252	1.9424
24	MPCC	filter_threshold=0.80	748	246	0.2756	0.8639	0.4179	0.9715	0.4879	0.3556	0.2376	1.9826
