SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	987	198	0.2373	0.8502	0.3710	0.9848	0.4491	0.3210	0.2321	1.9089
2	EWCA	ss_threshold=0.44	878	198	0.2497	0.8415	0.3851	0.9747	0.4584	0.3269	0.2396	1.9264
3	EWCA	ss_threshold=0.48	772	198	0.2584	0.8295	0.3941	0.9394	0.4630	0.3329	0.2475	1.9139
4	EWCA	ss_threshold=0.52	676	198	0.2705	0.7894	0.4029	0.8990	0.4621	0.3328	0.2478	1.8825
5	EWCA	ss_threshold=0.56	571	198	0.2901	0.7731	0.4219	0.8687	0.4736	0.3480	0.2639	1.9024
6	EWCA	ss_threshold=0.60	488	198	0.3045	0.7481	0.4329	0.8434	0.4773	0.3582	0.2758	1.9104
7	EWCA	ss_threshold=0.64	418	198	0.3233	0.7372	0.4495	0.8485	0.4882	0.3708	0.2879	1.9566
8	EWCA	ss_threshold=0.68	348	198	0.3516	0.6547	0.4575	0.7323	0.4798	0.3853	0.3024	1.8776
9	SEDMTG	iteration_1	2165	198	0.0954	0.8447	0.1715	0.7374	0.2839	0.2820	0.1784	1.3693
10	SEDMTG	iteration_2	2191	198	0.0960	0.8436	0.1724	0.7374	0.2846	0.2825	0.1792	1.3715
11	SEDMTG	iteration_3	2159	198	0.0942	0.8415	0.1695	0.7374	0.2816	0.2791	0.1762	1.3621
12	SEDMTG	iteration_4	2158	198	0.0954	0.8436	0.1715	0.7374	0.2837	0.2835	0.1799	1.3723
13	SEDMTG	iteration_5	2161	198	0.0961	0.8382	0.1724	0.7323	0.2838	0.2834	0.1798	1.3678
14	SEDMTG	iteration_6	2153	198	0.0952	0.8415	0.1711	0.7374	0.2831	0.2813	0.1779	1.3676
15	SEDMTG	iteration_7	2163	198	0.0960	0.8426	0.1724	0.7374	0.2844	0.2845	0.1814	1.3757
16	SEDMTG	iteration_8	2162	198	0.0963	0.8436	0.1728	0.7374	0.2850	0.2843	0.1808	1.3754
17	MPCC	filter_threshold=0.10	232	198	0.2713	0.7709	0.4013	0.9192	0.4573	0.3445	0.2569	1.9219
18	MPCC	filter_threshold=0.20	260	198	0.2494	0.7807	0.3780	0.9141	0.4413	0.3259	0.2387	1.8568
19	MPCC	filter_threshold=0.30	299	198	0.2538	0.8002	0.3853	0.9293	0.4506	0.3279	0.2354	1.8780
20	MPCC	filter_threshold=0.40	345	198	0.2422	0.8100	0.3729	0.9394	0.4430	0.3322	0.2351	1.8796
21	MPCC	filter_threshold=0.50	393	198	0.2331	0.8165	0.3627	0.9495	0.4363	0.3298	0.2300	1.8720
22	MPCC	filter_threshold=0.60	448	198	0.2328	0.8241	0.3630	0.9545	0.4380	0.3326	0.2294	1.8796
23	MPCC	filter_threshold=0.70	506	198	0.2234	0.8350	0.3525	0.9545	0.4319	0.3283	0.2255	1.8609
24	MPCC	filter_threshold=0.80	572	198	0.2157	0.8382	0.3431	0.9545	0.4252	0.3257	0.2224	1.8457
