SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore	AvgFitness	MaxFitness	TotalFitness
1	EWCA	ss_threshold=0.40	5611	1477	0.6419	0.9934	0.7903	0.1857	0.2739	2.8852	1.7131	3.5857	9612.1242
2	EWCA	ss_threshold=0.44	5322	1477	0.6416	0.9934	0.7779	0.1868	0.2758	2.8754	1.7247	3.5857	9178.6229
3	EWCA	ss_threshold=0.48	5022	1477	0.6309	0.9934	0.7527	0.1808	0.2754	2.8332	1.7308	3.5857	8692.0321
4	EWCA	ss_threshold=0.52	4717	1477	0.6313	0.9934	0.7407	0.1749	0.2770	2.8172	1.7421	3.5857	8217.3627
5	EWCA	ss_threshold=0.56	4372	1477	0.6281	0.9934	0.7229	0.1716	0.2792	2.7952	1.7590	3.5857	7690.5541
6	EWCA	ss_threshold=0.60	4007	1477	0.6225	0.9915	0.7017	0.1658	0.2791	2.7606	1.7791	3.5857	7128.8915
7	EWCA	ss_threshold=0.64	3641	1477	0.6073	0.9912	0.6701	0.1559	0.2772	2.7017	1.7986	3.5857	6548.7719
8	EWCA	ss_threshold=0.68	3292	1477	0.5989	0.9915	0.6476	0.1439	0.2770	2.6588	1.8220	3.5857	5997.9519
9	SEDMTG	iteration_1	5536	1477	0.6049	0.9098	0.7417	0.0505	0.1906	2.4976	2.0653	3.5466	11433.6406
10	SEDMTG	iteration_2	5533	1477	0.6037	0.9098	0.7402	0.0503	0.1906	2.4946	2.0654	3.5466	11428.1196
11	SEDMTG	iteration_3	5532	1477	0.6044	0.9105	0.7410	0.0502	0.1908	2.4968	2.0649	3.5466	11422.8074
12	SEDMTG	iteration_4	5522	1477	0.6032	0.9098	0.7392	0.0509	0.1905	2.4937	2.0643	3.5466	11399.0203
13	SEDMTG	iteration_5	5519	1477	0.6018	0.9105	0.7373	0.0507	0.1908	2.4910	2.0652	3.5466	11397.6158
14	SEDMTG	iteration_6	5537	1477	0.6042	0.9105	0.7410	0.0511	0.1908	2.4976	2.0653	3.5466	11435.5593
15	SEDMTG	iteration_7	5531	1477	0.6047	0.9105	0.7414	0.0500	0.1909	2.4974	2.0637	3.5466	11414.2640
16	SEDMTG	iteration_8	5532	1477	0.6041	0.9105	0.7406	0.0500	0.1905	2.4957	2.0653	3.5466	11425.0344
17	MPCC	filter_threshold=0.10	847	1477	0.2444	0.9724	0.2539	0.0769	0.2269	1.7745	1.7595	3.5466	1490.2887
18	MPCC	filter_threshold=0.20	938	1477	0.2675	0.9742	0.2744	0.0844	0.2316	1.8322	1.7268	3.5466	1619.7365
19	MPCC	filter_threshold=0.30	1081	1477	0.3018	0.9761	0.3055	0.0954	0.2412	1.9200	1.6954	3.5466	1832.7356
20	MPCC	filter_threshold=0.40	1189	1477	0.3218	0.9761	0.3237	0.1018	0.2463	1.9697	1.6885	3.5466	2007.6040
21	MPCC	filter_threshold=0.50	1314	1477	0.3404	0.9777	0.3410	0.1069	0.2475	2.0134	1.6824	3.5466	2210.7018
22	MPCC	filter_threshold=0.60	1497	1477	0.3658	0.9793	0.3658	0.1123	0.2484	2.0717	1.6727	3.5466	2504.0109
23	MPCC	filter_threshold=0.70	1710	1477	0.3897	0.9818	0.3908	0.1177	0.2480	2.1279	1.6750	3.5466	2864.2456
24	MPCC	filter_threshold=0.80	2004	1477	0.4154	0.9827	0.4202	0.1244	0.2498	2.1926	1.6854	3.5466	3377.4766
