SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore
1	EWCA	ss_threshold=0.40	2444	305	0.1764	0.9813	0.2991	1.0000	0.4161	0.3004	0.1830	1.7825
2	EWCA	ss_threshold=0.44	2364	305	0.1811	0.9820	0.3058	1.0000	0.4217	0.3004	0.1850	1.7913
3	EWCA	ss_threshold=0.48	2259	305	0.1831	0.9794	0.3086	0.9967	0.4235	0.2985	0.1851	1.7889
4	EWCA	ss_threshold=0.52	2130	305	0.1847	0.9788	0.3107	0.9967	0.4251	0.2971	0.1856	1.7901
5	EWCA	ss_threshold=0.56	2030	305	0.1901	0.9807	0.3184	0.9967	0.4317	0.2990	0.1886	1.8027
6	EWCA	ss_threshold=0.60	1887	305	0.1941	0.9807	0.3241	0.9967	0.4363	0.3010	0.1924	1.8142
7	EWCA	ss_threshold=0.64	1737	305	0.2009	0.9768	0.3333	0.9967	0.4430	0.3042	0.1962	1.8305
8	EWCA	ss_threshold=0.68	1589	305	0.1985	0.9736	0.3298	0.9967	0.4396	0.3103	0.2021	1.8389
9	SEDMTG	iteration_1	1330	305	0.1926	0.7426	0.3058	0.6393	0.3781	0.2236	0.1553	1.3240
10	SEDMTG	iteration_2	1326	305	0.1932	0.7471	0.3071	0.6459	0.3800	0.2238	0.1558	1.3326
11	SEDMTG	iteration_3	1324	305	0.1924	0.7426	0.3056	0.6361	0.3780	0.2212	0.1543	1.3171
12	SEDMTG	iteration_4	1325	305	0.1921	0.7754	0.3079	0.6820	0.3859	0.2234	0.1554	1.3687
13	SEDMTG	iteration_5	1322	305	0.1917	0.7439	0.3049	0.6426	0.3777	0.2227	0.1550	1.3252
14	SEDMTG	iteration_6	1328	305	0.1932	0.7477	0.3071	0.6492	0.3801	0.2241	0.1557	1.3360
15	SEDMTG	iteration_7	1332	305	0.1937	0.7465	0.3076	0.6426	0.3802	0.2225	0.1545	1.3272
16	SEDMTG	iteration_8	1333	305	0.1934	0.7432	0.3069	0.6393	0.3791	0.2224	0.1548	1.3234
17	MPCC	filter_threshold=0.10	325	305	0.2281	0.8662	0.3611	0.8820	0.4445	0.2638	0.1966	1.7035
18	MPCC	filter_threshold=0.20	355	305	0.2253	0.8810	0.3589	0.8885	0.4455	0.2584	0.1909	1.6967
19	MPCC	filter_threshold=0.30	380	305	0.2227	0.8938	0.3566	0.9016	0.4462	0.2563	0.1868	1.7013
20	MPCC	filter_threshold=0.40	401	305	0.2190	0.8932	0.3517	0.9016	0.4423	0.2547	0.1845	1.6926
21	MPCC	filter_threshold=0.50	427	305	0.2143	0.8951	0.3458	0.9115	0.4379	0.2526	0.1814	1.6913
22	MPCC	filter_threshold=0.60	478	305	0.2126	0.9054	0.3443	0.9213	0.4387	0.2568	0.1808	1.7032
23	MPCC	filter_threshold=0.70	542	305	0.2203	0.9151	0.3551	0.9311	0.4490	0.2704	0.1889	1.7456
24	MPCC	filter_threshold=0.80	622	305	0.2216	0.9234	0.3574	0.9377	0.4524	0.2833	0.1952	1.7737
