complex_id	proteins
1	P16661 P38179 P53954
2	P38969 P40990 P53239
3	P35734 P36162 Q03954 Q12248
4	P16661 P38179 P53954
5	P22354 P38064 Q06090
6	P32804 P34240 Q12436
7	P38969 P40990 P53239
8	P38969 P40990 P53239
9	P00424 P00427 P07255
10	P16661 P38179 P53954
11	P15367 Q04969 Q12133
12	P32791 P35192 P36033
13	P16661 P38179 P53954
14	P22135 P40491 Q03028
15	P14693 P50110 P53969
16	O13525 P27680 P53318
17	P15367 Q04969 Q12133
18	O13525 P27680 P53318
19	P04806 P04807 P17709
20	P11412 P46367 P54115
21	P04806 P04807 P17709
22	P22135 P40491 Q03028
23	P15367 Q04969 Q12133
24	P38969 P40990 P53239
25	P04806 P04807 P17709
26	P22135 P40491 Q03028
27	P15367 Q04969 Q12133
28	P04806 P04807 P17709
29	P00424 P00427 P07255
30	P15367 Q04969 Q12133
31	P04806 P04807 P17709
32	P16661 P38179 P53954
33	P11412 P46367 P54115
34	O13525 P27680 P53318
35	P11412 P46367 P54115
36	O13525 P27680 P53318
37	P38969 P40990 P53239
38	P32804 P34240 Q12436
39	P35734 P36162 Q03954 Q12248
40	P22135 P40491 Q03028
41	P00424 P00427 P07255
42	O13525 P27680 P53318
43	P38969 P40990 P53239
44	P04806 P04807 P17709
45	P22354 P38064 Q06090
46	P32804 P34240 Q12436
47	P22135 P40491 Q03028
48	P16661 P38179 P53954
49	P15367 Q04969 Q12133
50	P11412 P46367 P54115
51	P04806 P04807 P17709
52	P04806 P04807 P17709
53	P04806 P04807 P17709
54	P14693 P50110 P53969
55	P15367 Q04969 Q12133
56	P22135 P40491 Q03028
57	P00424 P00427 P07255
58	P32804 P34240 Q12436
59	P32791 P35192 P36033
60	P14693 P50110 P53969
61	P04806 P04807 P17709
62	P11412 P46367 P54115
63	P14693 P50110 P53969
64	P14693 P50110 P53969
65	P38969 P40990 P53239
66	P15367 Q04969 Q12133
67	O13525 P27680 P53318
68	P38969 P40990 P53239
69	P32804 P34240 Q12436
70	P04806 P04807 P17709
71	P11412 P46367 P54115
72	P04806 P04807 P17709
73	O13525 P27680 P53318
74	P43124 Q05541 Q07913
75	P00424 P00427 P07255
76	P32804 P34240 Q12436
77	P43124 Q05541 Q07913
78	P22135 P40491 Q03028
79	P32804 P34240 Q12436
80	O13525 P27680 P53318
81	P15367 Q04969 Q12133
82	P38969 P40990 P53239
83	P32804 P34240 Q12436
84	P15367 Q04969 Q12133
85	P32804 P34240 Q12436
86	P04806 P04807 P17709
87	P32791 P35192 P36033
88	O13525 P27680 P53318
89	P16661 P38179 P53954
90	P15367 Q04969 Q12133
91	P04806 P04807 P17709
92	P14693 P50110 P53969
93	P22135 P40491 Q03028
94	P38969 P40990 P53239
95	P32804 P34240 Q12436
96	P15367 Q04969 Q12133
97	P11412 P46367 P54115
98	P38969 P40990 P53239
99	P22135 P40491 Q03028
100	P16661 P38179 P53954
101	P16661 P38179 P53954
102	P32804 P34240 Q12436
103	P32804 P34240 Q12436
104	P22135 P40491 Q03028
105	O13525 P27680 P53318
106	O13525 P27680 P53318
107	P32791 P35192 P36033
108	P43124 Q05541 Q07913
109	P15367 Q04969 Q12133
110	P15367 Q04969 Q12133
111	P22135 P40491 Q03028
112	P32791 P35192 P36033
113	P14693 P50110 P53969
114	P04806 P04807 P17709
115	P11412 P46367 P54115
116	P38969 P40990 P53239
117	O13525 P27680 P53318
118	P11412 P46367 P54115
119	P11412 P46367 P54115
120	P04806 P04807 P17709
121	P22135 P40491 Q03028
122	P38969 P40990 P53239
123	P32804 P34240 Q12436
124	P32791 P35192 P36033
125	P32791 P35192 P36033
126	P15367 Q04969 Q12133
127	P32804 P34240 Q12436
