complex_id	proteins
1	P32902 P33759 P42847
2	P09798 P14724 P16522 P38042 P53068 P53886 Q04601 Q08683 Q12107 Q12157 Q12440
3	P36149 Q03660 Q99394
4	P40955 Q05029 Q12114
5	P38158 P38215 P53341
6	P19658 P32844 P32855 Q06245
7	P38636 P38995
8	P38334 Q03337 Q03630
9	P32902 P33759 P42847
10	P38073 P53862
11	P25694 P33755 P53044
12	P12868 P20795 P27801 P39702 Q03308
13	P32786 P38204 P40992 P53437
14	P36131 P53168 P53267
15	P22354 P38064 Q06090
16	P14906 P21825 P39742
17	P47057 Q04053 Q07528
18	P47086 P53754 P53755
19	P21623 P23501
20	P40070 P40089 P47093 P53905 Q06406
21	P00830 P30902 Q06405
22	P32496 Q04062 Q08723 Q12377
23	P19956 P36520 P36528
24	P24384 P33411 Q02775
25	P38636 P38995
26	P32786 P38204 P40992 P53437
27	P25359 P38792 P46948 P48240 P53256 P53859 Q05636 Q08162 Q12277
28	P25441 P32910 P36121
29	P25441 P32910 P36121
30	P09798 P16522 P38042 Q12157 Q12440
31	P25574 P36039 P40540 P47133 P53073 Q12431
32	P32367 Q06339 Q12308
33	P09798 P14724 P16522 P38042 P53068 P53886 Q04601 Q08683 Q12107 Q12157 Q12440
34	P38129 Q03761 Q12030
35	P19658 P32844 P32855 Q06245
36	P35734 P36162 Q12248
37	P20424 P29478 P38687
38	P25694 P33755 P53044
39	P38334 Q03337 Q03630
40	P43321 Q06217 Q12330
41	P32452 P36014 P43552
42	P38158 P38215 P53341
43	Q06143 Q7M4S9
44	P40326 Q04004 Q07438
45	P38334 Q03337 Q03630
46	P32833 P38826 P54784 P54790
47	P33297 P33298 P33299
48	P32786 P38204 P40992 P53437
49	P38334 Q03337 Q03630
50	P35181 P36000 Q00776 Q12028
51	P32452 P36014 P43552
52	P09798 P14724 P16522 P38042 P53068 P53886 Q04601 Q08683 Q12107 Q12157 Q12440
53	P39904 P47061 Q12071
54	P20424 P29478 P38687
55	P35181 P36000 Q00776 Q12028
56	P18898 P22007 P29703
57	Q04773 Q06683
58	P07390 P10355 P10834
59	P40309 Q05776
60	P39977 P40326 Q07438
61	P40094 P53079 P53959
62	P32902 P33759 P42847
63	P36131 P53168 P53267
64	P33297 P33298 P33299
65	P40094 P53079 P53959
66	P36149 Q03660 Q99394
67	P40309 Q05776
68	P36131 P53168 P53267
69	P35734 P36162 Q12248
70	P36131 P53168 P53267
71	P00830 P09457 P30902
72	P32939 P38273 P53129
73	P53285 Q03508
74	Q05902 Q08280
75	P36131 P53168 P53267
76	P24279 P29469 P38132
77	P40094 P53079 P53959
78	P18898 P22007 P29703
79	P25441 P32910 P36121
80	Q12086 Q12282
81	Q12086 Q12282
82	O13553 P53910
83	P40018 P43321 Q02260
84	P36131 P53168 P53267
85	P40094 P53079 Q06096
86	P33297 P33298 P33299
87	P09798 P16522 P38042 Q12157 Q12440
88	P53975 Q07895
89	P33297 P33298 P33299
90	P38874 Q02884 Q06706
91	P09798 P14724 P16522 P38042 P53068 P53886 Q04601 Q08683 Q12107 Q12157 Q12440
92	P38334 Q03337 Q03630
93	P09119 P29469 P32833 P38826 P54784 P54790
94	P38316 P38862 P40344
95	P25694 P33755 P53044
96	P26449 P41695 P47074
97	P53146 P53847 Q12745
98	P39982 P47164
99	P35181 P36000 Q00776 Q12028
100	P33297 P33298 P33299
101	P12868 P20795 P27801 P39702 Q03308
102	P47086 P53754 P53755
103	P32786 P38204 P40992 P53437
104	P19956 P31334 P36520
105	P25441 P32910 P36121
106	P40070 P40089 P47093 P53905 Q06406
107	P21623 P23501
108	P35181 P36000 Q00776 Q12028
109	P35181 P36000 Q00776 Q12028
110	P40070 P40089 P47093 P53905 Q06406
111	P25441 P32910 P36121
112	P38073 P53862
113	P40018 P43321 Q02260
114	P38334 Q03337 Q03630
115	P36131 P53168 P53267
116	P25694 P33755 P53044
117	P36131 P53168 P53267
118	P25694 P33755 P53044
119	P17255 P39111 P41807
120	P40309 Q05776
121	P40070 P40089 P47093 P53905 Q06406
122	P17255 P39111 P41807
123	P35181 P36000 Q00776 Q12028
124	P33297 P33298 P33299
125	P38158 P38215 P53341
126	P36131 P53168 P53267
127	P36131 P53168 P53267
128	P14906 P21825 P39742
129	P25694 P33755 P53044
130	P26449 P41695 P47074
131	P20424 P29478 P38687
132	P32902 P42847 P53733
133	P33297 P33298 P33299
134	P47142 Q06696 Q12483
135	P09938 P21524 P49723
136	P38636 P38995
137	P23255 P38129 Q04226
138	P38334 Q03337 Q03630
139	P14906 P21825 P39742
140	P40018 P43321 Q02260
141	P40070 P40089 P47093 P53905 Q06406
142	P53146 P53847 Q12745
143	P25694 P33755 P53044
144	P53146 P53847 Q12745
145	P25694 P33755 P53044
146	P33297 P33298 P33299
147	P38316 P38862 P40344
148	P09119 P29469 P32833 P38826 P54784 P54790
149	P53146 P53847 Q12745
150	P22354 P38064 Q06090
151	P38316 P38862 P40344
152	P40070 P40089 P47093 P53905 Q06406
153	Q06143 Q7M4S9
154	P18898 P22007 P29703
155	P23255 P38129 Q04226
156	P19956 P36520 P36528
157	P39977 P40326 Q07438
158	P38636 P38995
159	P35181 P36000 Q00776 Q12028
160	P33891 P53847 Q12745
161	P18898 P22007 P29703
162	P21623 P23501
163	P32902 P33759 P42847
164	P39977 P40326 Q07438
165	P47057 Q04053 Q07528
166	P36131 P53168 P53267
167	P43321 Q06217 Q12330
168	P14906 P21825 P39742
169	P40018 P43321 Q02260
170	P40070 P40089 P47093 P53905 Q06406
171	P40070 P40089 P47093 P53905 Q06406
172	O13578 P43539
173	P19658 P32844 P32855 Q06245
174	P24279 P29469 P38132
175	P09798 P16522 P38042 Q12157 Q12440
176	P25651 P40065 Q04087
177	P40014 P40957 Q04477
178	P38158 P38215 P53341
179	P36131 P53168 P53267
180	P25694 P33755 P53044
181	P20424 P29478 P38687
182	P19956 P31334 P36520
183	P35734 P36162 Q12248
184	P20424 P29478 P38687
185	P32902 P33759 P42847
186	P35181 P36000 Q00776 Q12028
187	P25359 P38792 P46948 P48240 P53256 P53859 Q05636 Q08162 Q12277
188	P38208 P38291 P53833
189	O13578 P43539
190	P38073 P53862
